candidate_id,file,function,error_line,candidate_type,severity,evidence_level,evidence_score,matched_protocol_ids,required_actions,has_exception_hints,exception_hints,released_by_wrapper_possible,ownership_transfer_possible,manual_verdict,manual_confidence,manual_review_source,manual_confirmed_exception,manual_exception_type,manual_score_adjustment,manual_reason,manual_next_action,manual_validation_hint,score_explanation,missing_evidence,final_return_expr
candidate_4141cf13e9eb,fs/btrfs/block-group.c,load_extent_tree_free,779,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.mutex.lock.unlock""]","[""mutex_unlock""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_61113d32a45f,fs/btrfs/block-group.c,load_extent_tree_free,788,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.mutex.lock.unlock""]","[""mutex_unlock""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_e65b2fff9f8a,fs/btrfs/block-group.c,load_extent_tree_free,810,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.mutex.lock.unlock""]","[""mutex_unlock""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_ab29e2650abe,fs/btrfs/delayed-ref.c,btrfs_delayed_ref_lock,512,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.spin.variants""]","[""spin_unlock""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-EAGAIN
candidate_a8bb41653078,fs/btrfs/dev-replace.c,mark_block_group_to_copy,494,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.spin.variants""]","[""spin_unlock""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_29421f3c4708,fs/btrfs/discard.c,peek_discard_list,249,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.spin.variants""]","[""spin_unlock""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",unknown
candidate_897f776f4a39,fs/btrfs/extent-tree.c,__acquires,3622,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.spin.variants""]","[""spin_unlock""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",NULL
candidate_fa1e8b985dc8,fs/btrfs/extent-tree.c,__acquires,3630,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.spin.variants""]","[""spin_unlock""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",used_bg
candidate_049c8f156099,fs/btrfs/extent-tree.c,__btrfs_run_delayed_refs,2136,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.spin.variants""]","[""spin_unlock""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_1fe80be719f6,fs/btrfs/extent-tree.c,__btrfs_run_delayed_refs,2152,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.spin.variants""]","[""spin_unlock""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
