linux_git_commit,linux_git_tag,file,function,path_id,error_line,candidate_type,severity,condition,exit_type,target_label,error_source_expr,held_resources,cleanup_calls,missing_cleanup_candidates,final_return_expr,evidence,reason
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/async-thread.c,btrfs_alloc_workqueue,btrfs_alloc_workqueue#001,91,error_swallowed,P2,!ret,return,,"kzalloc(sizeof(*ret), GFP_KERNEL)",[],[],[],NULL,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [], ""final_return_expr"": ""NULL""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/async-thread.c,btrfs_alloc_workqueue,btrfs_alloc_workqueue#002,115,error_swallowed,P2,!ret->normal_wq,return,,"alloc_workqueue(""btrfs-%s"", flags, ret->current_active,","[{""var"": ""ret"", ""acquire_func"": ""kzalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 89}]","[""kfree(ret)""]",[],NULL,"{""acquired_resources"": [{""var"": ""ret"", ""acquire_func"": ""kzalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 89}], ""missing_releases"": [], ""cleanup_calls"": [""kfree(ret)""], ""final_return_expr"": ""NULL""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/async-thread.c,btrfs_alloc_ordered_workqueue,btrfs_alloc_ordered_workqueue#001,131,error_swallowed,P2,!ret,return,,"kzalloc(sizeof(*ret), GFP_KERNEL)",[],[],[],NULL,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [], ""final_return_expr"": ""NULL""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/async-thread.c,btrfs_alloc_ordered_workqueue,btrfs_alloc_ordered_workqueue#002,142,error_swallowed,P2,!ret->normal_wq,return,,"alloc_ordered_workqueue(""btrfs-%s"", flags, name)","[{""var"": ""ret"", ""acquire_func"": ""kzalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 130}]","[""kfree(ret)""]",[],NULL,"{""acquired_resources"": [{""var"": ""ret"", ""acquire_func"": ""kzalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 130}], ""missing_releases"": [], ""cleanup_calls"": [""kfree(ret)""], ""final_return_expr"": ""NULL""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,resolve_indirect_refs,resolve_indirect_refs#002,761,missing_cleanup,P3,"WARN(ref->parent, ""BUG: direct ref found in indirect tree"")",goto,out,unknown,"[{""var"": ""parents"", ""acquire_func"": ""ulist_alloc"", ""resource_type"": ""ulist"", ""release_functions"": [""ulist_free""], ""acquire_line"": 747}]","[""free_leaf_list(parents)""]","[""ulist_free(parents)""]",ret,"{""acquired_resources"": [{""var"": ""parents"", ""acquire_func"": ""ulist_alloc"", ""resource_type"": ""ulist"", ""release_functions"": [""ulist_free""], ""acquire_line"": 747}], ""missing_releases"": [""ulist_free(parents)""], ""cleanup_calls"": [""free_leaf_list(parents)""], ""final_return_expr"": ""ret""}",error path exits while resource acquired before error path has no matching release in cleanup.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,resolve_indirect_refs,resolve_indirect_refs#003,775,missing_cleanup,P3,sc && ref->root_id != sc->root->root_key.objectid,goto,out,function_parameter,"[{""var"": ""parents"", ""acquire_func"": ""ulist_alloc"", ""resource_type"": ""ulist"", ""release_functions"": [""ulist_free""], ""acquire_line"": 747}]","[""free_pref(ref)"", ""free_leaf_list(parents)""]","[""ulist_free(parents)""]",ret,"{""acquired_resources"": [{""var"": ""parents"", ""acquire_func"": ""ulist_alloc"", ""resource_type"": ""ulist"", ""release_functions"": [""ulist_free""], ""acquire_line"": 747}], ""missing_releases"": [""ulist_free(parents)""], ""cleanup_calls"": [""free_pref(ref)"", ""free_leaf_list(parents)""], ""final_return_expr"": ""ret""}",error path exits while resource acquired before error path has no matching release in cleanup.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,resolve_indirect_refs,resolve_indirect_refs#004,789,missing_cleanup,P3,err,goto,out,"resolve_indirect_ref(ctx, path, preftrees, ref, parents)","[{""var"": ""parents"", ""acquire_func"": ""ulist_alloc"", ""resource_type"": ""ulist"", ""release_functions"": [""ulist_free""], ""acquire_line"": 747}]","[""free_pref(ref)"", ""free_leaf_list(parents)""]","[""ulist_free(parents)""]",ret,"{""acquired_resources"": [{""var"": ""parents"", ""acquire_func"": ""ulist_alloc"", ""resource_type"": ""ulist"", ""release_functions"": [""ulist_free""], ""acquire_line"": 747}], ""missing_releases"": [""ulist_free(parents)""], ""cleanup_calls"": [""free_pref(ref)"", ""free_leaf_list(parents)""], ""final_return_expr"": ""ret""}",error path exits while resource acquired before error path has no matching release in cleanup.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,resolve_indirect_refs,resolve_indirect_refs#005,807,missing_cleanup,P3,!new_ref,goto,out,"kmem_cache_alloc(btrfs_prelim_ref_cache,","[{""var"": ""parents"", ""acquire_func"": ""ulist_alloc"", ""resource_type"": ""ulist"", ""release_functions"": [""ulist_free""], ""acquire_line"": 747}]","[""free_pref(ref)"", ""free_leaf_list(parents)""]","[""ulist_free(parents)""]",ret,"{""acquired_resources"": [{""var"": ""parents"", ""acquire_func"": ""ulist_alloc"", ""resource_type"": ""ulist"", ""release_functions"": [""ulist_free""], ""acquire_line"": 747}], ""missing_releases"": [""ulist_free(parents)""], ""cleanup_calls"": [""free_pref(ref)"", ""free_leaf_list(parents)""], ""final_return_expr"": ""ret""}",error path exits while resource acquired before error path has no matching release in cleanup.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,btrfs_find_all_leafs,btrfs_find_all_leafs#002,1718,missing_cleanup,P3,ret == BTRFS_ITERATE_EXTENT_INODES_STOP || (ret < 0 && ret != -ENOENT),return,,"find_parent_nodes(ctx, NULL)","[{""var"": ""ctx->refs"", ""acquire_func"": ""ulist_alloc"", ""resource_type"": ""ulist"", ""release_functions"": [""ulist_free""], ""acquire_line"": 1713}]","[""free_leaf_list(ctx->refs)""]","[""ulist_free(ctx->refs)""]",ret,"{""acquired_resources"": [{""var"": ""ctx->refs"", ""acquire_func"": ""ulist_alloc"", ""resource_type"": ""ulist"", ""release_functions"": [""ulist_free""], ""acquire_line"": 1713}], ""missing_releases"": [""ulist_free(ctx->refs)""], ""cleanup_calls"": [""free_leaf_list(ctx->refs)""], ""final_return_expr"": ""ret""}",error path exits while resource acquired before error path has no matching release in cleanup.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/btrfs/backref.c,btrfs_is_data_extent_shared,btrfs_is_data_extent_shared#002,1891,missing_cleanup,P3,PTR_ERR(trans) != -ENOENT && PTR_ERR(trans) != -EROFS,goto,out,unknown,"[{""var"": ""trans"", ""acquire_func"": ""btrfs_join_transaction_nostart"", ""resource_type"": ""btrfs_transaction"", ""release_functions"": [""btrfs_end_transaction"", ""btrfs_commit_transaction""], ""acquire_line"": 1889}]","[""PTR_ERR(trans)"", ""ulist_release(&ctx->refs)""]","[""btrfs_end_transaction(trans)""]",ret,"{""acquired_resources"": [{""var"": ""trans"", ""acquire_func"": ""btrfs_join_transaction_nostart"", ""resource_type"": ""btrfs_transaction"", ""release_functions"": [""btrfs_end_transaction"", ""btrfs_commit_transaction""], ""acquire_line"": 1889}], ""missing_releases"": [""btrfs_end_transaction(trans)""], ""cleanup_calls"": [""PTR_ERR(trans)"", ""ulist_release(&ctx->refs)""], ""final_return_expr"": ""ret""}",error path exits while resource acquired before error path has no matching release in cleanup.
