id,filesystem,candidate_index,function,failure_file,failure_line,failure_expression,exit_line,exit_expression,effect_summary,report_validity,bug_status,source_verdict,root_cause_family,rationale,related_finding,reviewed_on
BTRFS-001,btrfs,1,btrfs_backref_add_tree_node,linux-sources/linux-v6.14-fs/fs/btrfs/backref.c,3542,"handle_indirect_tree_backref(trans, cache, path, &key, node_key, cur)",3557,return ret;,cur.is_reloc_root:SET@3533;cur.root:SET@3533,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,PRIVATE_OR_CLEANED_STATE,"The reported effect belongs to an unpublished object, output/cursor, or temporary cache, or is removed by the reviewed error cleanup; no live metadata owner retains it.",,2026-07-24
BTRFS-002,btrfs,2,btrfs_backref_finish_upper_links,linux-sources/linux-v6.14-fs/fs/btrfs/backref.c,3624,"rb_simple_insert(&cache->rb_root, upper->bytenr, &upper->rb_node)",3628,return -EUCLEAN;,pending_edge.list_membership:ADD@3583,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,PRIVATE_OR_CLEANED_STATE,"The reported effect belongs to an unpublished object, output/cursor, or temporary cache, or is removed by the reviewed error cleanup; no live metadata owner retains it.",,2026-07-24
BTRFS-003,btrfs,3,exclude_super_stripes,linux-sources/linux-v6.14-fs/fs/btrfs/block-group.c,2185,"set_extent_bit(&fs_info->excluded_extents, cache->start, cache->start + stripe_len - 1, EXTENT_UPTODATE, NULL)",2189,return ret;,cache.bytes_super:INC@2184,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,PRIVATE_OR_CLEANED_STATE,"The reported effect belongs to an unpublished object, output/cursor, or temporary cache, or is removed by the reviewed error cleanup; no live metadata owner retains it.",,2026-07-24
BTRFS-004,btrfs,4,exclude_super_stripes,linux-sources/linux-v6.14-fs/fs/btrfs/block-group.c,2213,"set_extent_bit(&fs_info->excluded_extents, logical[nr], logical[nr] + len - 1, EXTENT_UPTODATE, NULL)",2218,return ret;,cache.bytes_super:INC@2184;cache.bytes_super:INC@2212,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,PRIVATE_OR_CLEANED_STATE,"The reported effect belongs to an unpublished object, output/cursor, or temporary cache, or is removed by the reviewed error cleanup; no live metadata owner retains it.",,2026-07-24
BTRFS-005,btrfs,5,read_one_block_group,linux-sources/linux-v6.14-fs/fs/btrfs/block-group.c,2366,"btrfs_load_block_group_zone_info(cache, false)",2437,return ret;,cache.free_space_ctl:SET@2331,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-006,btrfs,6,read_one_block_group,linux-sources/linux-v6.14-fs/fs/btrfs/block-group.c,2378,exclude_super_stripes(cache),2437,return ret;,cache.free_space_ctl:SET@2331,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-007,btrfs,7,read_one_block_group,linux-sources/linux-v6.14-fs/fs/btrfs/block-group.c,2406,"btrfs_add_new_free_space(cache, cache->start, cache->start + cache->length, NULL)",2437,return ret;,cache.free_space_ctl:SET@2331;cache.bytes_super:INC@2378,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-008,btrfs,8,read_one_block_group,linux-sources/linux-v6.14-fs/fs/btrfs/block-group.c,2413,"btrfs_add_block_group_cache(info, cache)",2437,return ret;,cache.free_space_ctl:SET@2331;cache.bytes_super:INC@2378,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-009,btrfs,9,fill_dummy_bgs,linux-sources/linux-v6.14-fs/fs/btrfs/block-group.c,2462,"btrfs_add_block_group_cache(fs_info, bg)",2485,return ret;,bg.free_space_ctl:SET@2450,FALSE_POSITIVE,NO_BUG,FALSE_ALARM,FAILED_OBJECT_TEARDOWN,"The failure prevents publication or mount completion, and the reviewed owner teardown destroys the partially initialized object and its state.",,2026-07-24
BTRFS-010,btrfs,10,insert_block_group_item,linux-sources/linux-v6.14-fs/fs/btrfs/block-group.c,2628,"btrfs_insert_item(trans, root, &key, &bgi, sizeof(bgi))",2635,return ret;,block_group.commit_used:SET@2622,TRUE_RESIDUAL,NO_BUG,CONTAINED_NOT_BUG,TRANSACTION_OR_FATAL_CONTAINMENT,"The mutation can remain at this function return, but the caller cancels/aborts the dirty transaction or shuts down the filesystem, so the state cannot continue as ordinary live metadata.",,2026-07-24
