linux_git_commit,linux_git_tag,file,function,path_id,error_line,candidate_type,severity,condition,exit_type,target_label,error_source_expr,held_resources,cleanup_calls,missing_cleanup_candidates,final_return_expr,evidence,reason
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/extents-test.c,check_buffer,check_buffer#001,349,error_swallowed,P1,ret == NULL,return,,"memchr_inv(buf, c, size)",[],[],[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/fast_commit.c,__track_dentry_update,__track_dentry_update#002,425,missing_cleanup,P1,!node,return,,"kmem_cache_alloc(ext4_fc_dentry_cachep, GFP_NOFS)","[{""var"": ""&ei->i_fc_lock"", ""acquire_func"": ""spin_lock"", ""resource_type"": ""spinlock"", ""release_functions"": [""spin_unlock""], ""acquire_line"": 420, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""ext4_fc_mark_ineligible(sb, EXT4_FC_REASON_NOMEM, handle)"", ""spin_lock(&ei->i_fc_lock)""]","[""spin_unlock(&ei->i_fc_lock)""]",-ENOMEM,"{""acquired_resources"": [{""var"": ""&ei->i_fc_lock"", ""acquire_func"": ""spin_lock"", ""resource_type"": ""spinlock"", ""release_functions"": [""spin_unlock""], ""acquire_line"": 420, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""spin_unlock(&ei->i_fc_lock)""], ""cleanup_calls"": [""ext4_fc_mark_ineligible(sb, EXT4_FC_REASON_NOMEM, handle)"", ""spin_lock(&ei->i_fc_lock)""], ""final_return_expr"": ""-ENOMEM""}",error path exits while resource acquired before error path has no matching release in cleanup.
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,ext4_fc_replay_add_range#002,1749,error_swallowed,P1,ret,goto,out,"ext4_fc_record_modified_inode(sb, inode->i_ino)",[],"[""ext4_free_ext_path(path)"", ""iput(inode)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""ext4_free_ext_path(path)"", ""iput(inode)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,ext4_fc_replay_add_range#003,1768,error_swallowed,P1,ret < 0,goto,out,"ext4_map_blocks(NULL, inode, &map, 0)",[],"[""ext4_free_ext_path(path)"", ""iput(inode)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""ext4_free_ext_path(path)"", ""iput(inode)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,ext4_fc_replay_add_range#008,1801,error_swallowed,P1,ret,goto,out,"ext4_ext_replay_update_ex(inode, cur, map.m_len,",[],"[""ext4_free_ext_path(path)"", ""iput(inode)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""ext4_free_ext_path(path)"", ""iput(inode)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,ext4_fc_replay_add_range#009,1822,error_swallowed,P1,ret,goto,out,"ext4_ext_replay_update_ex(inode, cur, map.m_len,",[],"[""ext4_free_ext_path(path)"", ""iput(inode)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""ext4_free_ext_path(path)"", ""iput(inode)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/fast_commit.c,ext4_fc_replay_del_range,ext4_fc_replay_del_range#002,1865,error_swallowed,P1,ret,goto,out,"ext4_fc_record_modified_inode(sb, inode->i_ino)",[],"[""iput(inode)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""iput(inode)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/fast_commit.c,ext4_fc_replay_del_range,ext4_fc_replay_del_range#003,1876,error_swallowed,P1,ret < 0,goto,out,"ext4_map_blocks(NULL, inode, &map, 0)",[],"[""iput(inode)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""iput(inode)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/fast_commit.c,ext4_fc_replay_del_range,ext4_fc_replay_del_range#004,1893,error_swallowed,P1,ret,goto,out,le32_to_cpu(lrange.fc_lblk),[],"[""iput(inode)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""iput(inode)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/ext4/orphan.c,ext4_init_orphan_info,ext4_init_orphan_info#006,612,missing_cleanup,P2,!oi->of_binfo[i].ob_bh,goto,out_free,EXT4_SB(sb),"[{""var"": ""ob_bh"", ""acquire_func"": ""ext4_bread"", ""resource_type"": ""buffer_head"", ""release_functions"": [""brelse""], ""acquire_line"": 607, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""brelse(oi->of_binfo[i].ob_bh)"", ""kvfree(oi->of_binfo)"", ""iput(inode)""]","[""brelse(ob_bh)""]",ret,"{""acquired_resources"": [{""var"": ""ob_bh"", ""acquire_func"": ""ext4_bread"", ""resource_type"": ""buffer_head"", ""release_functions"": [""brelse""], ""acquire_line"": 607, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""brelse(ob_bh)""], ""cleanup_calls"": [""brelse(oi->of_binfo[i].ob_bh)"", ""kvfree(oi->of_binfo)"", ""iput(inode)""], ""final_return_expr"": ""ret""}",error path exits while resource acquired before error path has no matching release in cleanup.
