linux_git_commit,linux_git_tag,file,function,function_start_line,function_end_line,path_id,error_line,condition,condition_type,error_var,error_source_expr,exit_type,target_label,cleanup_calls,final_return_expr,held_resources,missing_cleanup_candidates,confidence,reason
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_acl_count,30,45,f2fs_acl_count#001,36,s < 0,negative_error,s,size - 4 * sizeof(struct f2fs_acl_entry_short),return,,[],size / sizeof(struct f2fs_acl_entry_short),[],[],medium,return size / sizeof(struct f2fs_acl_entry_short) under negative_error condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_acl_count,30,45,f2fs_acl_count#002,36,s < 0,negative_error,s,size - 4 * sizeof(struct f2fs_acl_entry_short),return,,[],s / sizeof(struct f2fs_acl_entry) + 4,[],[],medium,return s / sizeof(struct f2fs_acl_entry) + 4 under negative_error condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_acl_from_disk,47,112,f2fs_acl_from_disk#001,55,size < sizeof(struct f2fs_acl_header),invalid_size,size,function_parameter,return,,[],ERR_PTR(-EINVAL),[],[],high,ERR_PTR return under invalid_size condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_acl_from_disk,47,112,f2fs_acl_from_disk#002,58,hdr->a_version != cpu_to_le32(F2FS_ACL_VERSION),invalid_version,hdr,(struct f2fs_acl_header *)value,return,,[],ERR_PTR(-EINVAL),[],[],high,ERR_PTR return under invalid_version condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_acl_from_disk,47,112,f2fs_acl_from_disk#003,62,count < 0,negative_error,count,f2fs_acl_count(size),return,,[],ERR_PTR(-EINVAL),[],[],high,ERR_PTR return under negative_error condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_acl_from_disk,47,112,f2fs_acl_from_disk#004,64,count == 0,invalid_count,count,f2fs_acl_count(size),return,,[],NULL,[],[],medium,return NULL under invalid_count condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_acl_from_disk,47,112,f2fs_acl_from_disk#005,68,!acl,null_check,acl,"posix_acl_alloc(count, GFP_NOFS)",return,,[],ERR_PTR(-ENOMEM),[],[],high,ERR_PTR return under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_acl_from_disk,47,112,f2fs_acl_from_disk#006,73,(char *)entry > end,bounds_check,char,unknown,goto,fail,"[""posix_acl_release(acl)""]",ERR_PTR(-EINVAL),[],[],high,"goto fail under bounds_check condition, final return ERR_PTR(-EINVAL); resolved label cleanup until return"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_acl_from_disk,47,112,f2fs_acl_from_disk#007,106,(char *)entry != end,state_or_validation_error,char,unknown,goto,fail,"[""posix_acl_release(acl)""]",ERR_PTR(-EINVAL),[],[],high,"goto fail under state_or_validation_error condition, final return ERR_PTR(-EINVAL); resolved label cleanup until return"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_acl_to_disk,114,167,f2fs_acl_to_disk#001,124,!f2fs_acl,null_check,f2fs_acl,"f2fs_kmalloc(sbi, sizeof(struct f2fs_acl_header) +",return,,[],ERR_PTR(-ENOMEM),[],[],high,ERR_PTR return under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,__f2fs_get_acl,169,198,__f2fs_get_acl#001,183,!value,null_check,value,"f2fs_kmalloc(F2FS_I_SB(inode), retval, GFP_F2FS_ZERO)",return,,[],ERR_PTR(-ENOMEM),[],[],high,ERR_PTR return under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_get_acl,200,206,f2fs_get_acl#001,202,rcu,state_or_validation_error,rcu,function_parameter,return,,[],ERR_PTR(-ECHILD),[],[],medium,ERR_PTR return under state_or_validation_error condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_acl_update_mode,208,227,f2fs_acl_update_mode#001,219,error < 0,negative_error,error,"posix_acl_equiv_mode(*acl, &mode)",return,,[],error,[],[],high,return error under negative_error condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,__f2fs_set_acl,229,276,__f2fs_set_acl#001,244,error,ret_nonzero,error,"f2fs_acl_update_mode(idmap, inode, &mode, &acl)",return,,[],error,[],[],high,return error under ret_nonzero condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,__f2fs_set_acl,229,276,__f2fs_set_acl#003,262,IS_ERR(value),err_ptr_check,value,"f2fs_acl_to_disk(F2FS_I_SB(inode), acl, &size)",return,,"[""clear_inode_flag(inode, FI_ACL_MODE)""]",PTR_ERR(value),[],[],high,PTR_ERR propagation under err_ptr_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,__f2fs_set_acl,229,276,__f2fs_set_acl#004,257,,negative_errno_return,unknown,unknown,return,,[],-EINVAL,[],[],high,direct negative_errno_return
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_set_acl,278,287,f2fs_set_acl#001,283,unlikely(f2fs_cp_error(F2FS_I_SB(inode))),unknown_error_like,unlikely,unknown,return,,[],-EIO,[],[],medium,negative errno return under unknown_error_like condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_acl_create_masq,307,359,f2fs_acl_create_masq#001,351,!group_obj,null_check,group_obj,pa,return,,[],-EIO,[],[],high,negative errno return under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_acl_create_masq,307,359,f2fs_acl_create_masq#002,343,,negative_errno_return,unknown,unknown,return,,[],-EIO,[],[],high,direct negative_errno_return
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_acl_create,361,410,f2fs_acl_create#003,380,IS_ERR(p),err_ptr_check,p,"__f2fs_get_acl(dir, ACL_TYPE_DEFAULT, dfolio)",return,,[],PTR_ERR(p),[],[],high,PTR_ERR propagation under err_ptr_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_acl_create,361,410,f2fs_acl_create#004,384,!clone,null_check,clone,"f2fs_acl_clone(p, GFP_NOFS)",goto,release_acl,"[""posix_acl_release(p)""]",ret,[],[],high,"goto release_acl under null_check condition, final return ret; resolved label cleanup until return"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_acl_create,361,410,f2fs_acl_create#005,390,ret < 0,negative_error,ret,"f2fs_acl_create_masq(clone, mode)",goto,release_clone,"[""posix_acl_release(clone)"", ""posix_acl_release(p)""]",ret,[],[],high,"goto release_clone under negative_error condition, final return ret; resolved label cleanup until return"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/acl.c,f2fs_init_acl,412,441,f2fs_init_acl#001,419,error,ret_nonzero,error,"f2fs_acl_create(dir, &inode->i_mode, &default_acl, &acl, dfolio)",return,,[],error,[],[],high,return error under ret_nonzero condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/checkpoint.c,trace_lock_elapsed_time_start,42,50,trace_lock_elapsed_time_start#001,46,!lc->lock_trace,null_check,lc->lock_trace,trace_f2fs_lock_elapsed_time_enabled(),return,,[],unknown,[],[],high,return unknown under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/checkpoint.c,trace_lock_elapsed_time_end,52,91,trace_lock_elapsed_time_end#001,63,!lc->lock_trace,null_check,lc->lock_trace,unknown,return,,[],unknown,[],[],high,return unknown under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/checkpoint.c,uplift_priority,117,136,uplift_priority#001,121,!sem->sbi->adjust_lock_priority,null_check,sem->sbi->adjust_lock_priority,unknown,return,,[],unknown,[],[],high,return unknown under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/checkpoint.c,restore_priority,138,150,restore_priority#001,141,!lc->need_restore,null_check,lc->need_restore,unknown,return,,[],unknown,[],[],high,return unknown under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/checkpoint.c,restore_priority,138,150,restore_priority#002,144,task_nice(current) != lc->new_nice,state_or_validation_error,task_nice,unknown,return,,[],unknown,[],[],medium,return unknown under state_or_validation_error condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/checkpoint.c,f2fs_grab_meta_folio,235,252,f2fs_grab_meta_folio#001,244,IS_ERR(folio),err_ptr_check,folio,"f2fs_grab_cache_folio(mapping, index, false)",goto,repeat,"[""cond_resched()"", ""f2fs_grab_cache_folio(mapping, index, false)"", ""IS_ERR(folio)"", ""cond_resched()""]",unknown,[],[],high,"goto repeat under err_ptr_check condition, final return unknown; label found but no return reached"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/checkpoint.c,__get_meta_folio,254,305,__get_meta_folio#001,275,IS_ERR(folio),err_ptr_check,folio,"f2fs_grab_cache_folio(mapping, index, false)",goto,repeat,"[""cond_resched()"", ""f2fs_grab_cache_folio(mapping, index, false)"", ""IS_ERR(folio)"", ""cond_resched()""]",unknown,[],[],high,"goto repeat under err_ptr_check condition, final return unknown; label found but no return reached"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/f2fs/checkpoint.c,__get_meta_folio,254,305,__get_meta_folio#002,279,folio_test_uptodate(folio),unknown_error_like,folio_test_uptodate,unknown,goto,out,[],folio,[],[],medium,"goto out under unknown_error_like condition, final return folio; resolved label cleanup until return"
