linux_git_commit,linux_git_tag,file,function,function_start_line,function_end_line,path_id,error_line,condition,condition_type,error_var,error_source_expr,exit_type,target_label,cleanup_calls,final_return_expr,held_resources,missing_cleanup_candidates,confidence,reason
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#001,24,!value,null_check,value,function_parameter,return,,[],NULL,[],[],high,return NULL under null_check condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#002,26,size < sizeof(ext4_acl_header),invalid_size,size,function_parameter,return,,[],ERR_PTR(-EINVAL),[],[],high,ERR_PTR return under invalid_size condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#003,28,((ext4_acl_header *)value)->a_version != cpu_to_le32(EXT4_ACL_VERSION),invalid_version,ext4_acl_header,unknown,return,,[],ERR_PTR(-EINVAL),[],[],high,ERR_PTR return under invalid_version condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#004,33,count < 0,negative_error,count,ext4_acl_count(size),return,,[],ERR_PTR(-EINVAL),[],[],high,ERR_PTR return under negative_error condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#005,35,count == 0,invalid_count,count,ext4_acl_count(size),return,,[],NULL,[],[],medium,return NULL under invalid_count condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#006,38,!acl,null_check,acl,"posix_acl_alloc(count, GFP_NOFS)",return,,[],ERR_PTR(-ENOMEM),[],[],high,ERR_PTR return under null_check condition
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#007,43,(char *)value + sizeof(ext4_acl_entry_short) > end,bounds_check,char,unknown,goto,fail,"[""posix_acl_release(acl)""]",ERR_PTR(-EINVAL),"[{""var"": ""acl"", ""acquire_func"": ""posix_acl_alloc"", ""resource_type"": ""posix_acl"", ""release_functions"": [""posix_acl_release"", ""kfree""], ""acquire_line"": 37, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],high,"goto fail under bounds_check condition, final return ERR_PTR(-EINVAL); resolved label cleanup until return; resource acl acquired by posix_acl_alloc before path, released by posix_acl_release(acl) in fail label"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#008,59,(char *)value > end,bounds_check,char,unknown,goto,fail,"[""posix_acl_release(acl)""]",ERR_PTR(-EINVAL),"[{""var"": ""acl"", ""acquire_func"": ""posix_acl_alloc"", ""resource_type"": ""posix_acl"", ""release_functions"": [""posix_acl_release"", ""kfree""], ""acquire_line"": 37, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],high,"goto fail under bounds_check condition, final return ERR_PTR(-EINVAL); resolved label cleanup until return; resource acl acquired by posix_acl_alloc before path, released by posix_acl_release(acl) in fail label"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#009,67,(char *)value > end,bounds_check,char,unknown,goto,fail,"[""posix_acl_release(acl)""]",ERR_PTR(-EINVAL),"[{""var"": ""acl"", ""acquire_func"": ""posix_acl_alloc"", ""resource_type"": ""posix_acl"", ""release_functions"": [""posix_acl_release"", ""kfree""], ""acquire_line"": 37, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],high,"goto fail under bounds_check condition, final return ERR_PTR(-EINVAL); resolved label cleanup until return; resource acl acquired by posix_acl_alloc before path, released by posix_acl_release(acl) in fail label"
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/acl.c,ext4_acl_from_disk,1,85,ext4_acl_from_disk#010,78,value != end,state_or_validation_error,value,(char *)value + sizeof(ext4_acl_entry),goto,fail,"[""posix_acl_release(acl)""]",ERR_PTR(-EINVAL),"[{""var"": ""acl"", ""acquire_func"": ""posix_acl_alloc"", ""resource_type"": ""posix_acl"", ""release_functions"": [""posix_acl_release"", ""kfree""], ""acquire_line"": 37, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],high,"goto fail under state_or_validation_error condition, final return ERR_PTR(-EINVAL); resolved label cleanup until return; resource acl acquired by posix_acl_alloc before path, released by posix_acl_release(acl) in fail label"
