candidate_id,file,function,error_line,candidate_type,severity,evidence_level,evidence_score,historical_fix_ids,fixed_versions,matched_protocol_ids,required_actions,has_exception_hints,exception_hints,released_by_wrapper_possible,ownership_transfer_possible,manual_verdict,manual_confidence,manual_review_source,manual_confirmed_exception,manual_exception_type,manual_score_adjustment,manual_reason,manual_next_action,manual_validation_hint,score_explanation,missing_evidence,final_return_expr
candidate_8d0bd335cb8f,fs/ext4/namei.c,ext4_dx_add_entry,2570,missing_cleanup,P2,E3_HISTORICAL_FIX_CONFIRMED,100,ext4.dx_add_entry.bh2_error_release,linux-v7.1,"[""buffer_head.sb_bread.bread.ext4_bread.ext4_getblk.brelse""]","[""brelse""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""E3 later-version source fix confirmation +40"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""dynamic_validation""]",unknown
candidate_cd7ce5e4a21d,fs/ext4/namei.c,ext4_dx_add_entry,2582,missing_cleanup,P2,E3_HISTORICAL_FIX_CONFIRMED,100,ext4.dx_add_entry.bh2_error_release,linux-v7.1,"[""buffer_head.sb_bread.bread.ext4_bread.ext4_getblk.brelse""]","[""brelse""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""E3 later-version source fix confirmation +40"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""dynamic_validation""]",unknown
candidate_b56aa8cdb611,fs/ext4/ialloc.c,__ext4_new_inode,1090,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,,,"[""journal.ext4_journal_start.stop""]","[""ext4_journal_stop""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ERR_PTR(err)
candidate_3e38c6b50850,fs/ext4/ialloc.c,__ext4_new_inode,1110,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,,,"[""journal.ext4_journal_start.stop""]","[""ext4_journal_stop""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ERR_PTR(err)
candidate_60b10e6b2b31,fs/ext4/namei.c,ext4_dx_add_entry,2602,missing_cleanup,P2,E3_HISTORICAL_FIX_CONFIRMED,73,ext4.dx_add_entry.bh2_error_release,linux-v7.1,"[""buffer_head.sb_bread.bread.ext4_bread.ext4_getblk.brelse""]","[""brelse""]",true,"[{""type"": ""ownership_transferred"", ""resource_kind"": ""buffer_head"", ""resource_expr"": ""bh2"", ""line"": 2595, ""reason"": ""resource appears in a call before the error path"", ""confidence"": ""low"", ""call"": ""swap(frame->bh, bh2)"", ""protocol_id"": ""buffer_head.sb_bread.bread.ext4_bread.ext4_getblk.brelse""}, {""type"": ""ownership_transferred"", ""resource_kind"": ""buffer_head"", ""resource_expr"": ""bh2"", ""line"": 2601, ""reason"": ""resource appears in a call before the error path"", ""confidence"": ""low"", ""call"": ""ext4_handle_dirty_dx_node(handle, dir, bh2)"", ""protocol_id"": ""buffer_head.sb_bread.bread.ext4_bread.ext4_getblk.brelse""}]",false,true,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support with exception hints +10"", ""E3 later-version source fix confirmation +40"", ""P2 severity +10"", ""buffer_head or memory protocol violation with exception hints +3""]","[""dynamic_validation""]",unknown
candidate_cbf05c8486ab,fs/ext4/extents.c,ext4_ext_shift_extents,5241,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.kmalloc.kzalloc.kcalloc.kmem_cache_alloc.kfree""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-EFSCORRUPTED
candidate_dbbcfe37c464,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,1745,error_swallowed,P1,E0_STATIC_RULE_ONLY,50,,,[],[],false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_0bee7caf6376,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,1764,error_swallowed,P1,E0_STATIC_RULE_ONLY,50,,,[],[],false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_aa38ec144be3,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,1784,error_swallowed,P1,E0_STATIC_RULE_ONLY,50,,,[],[],false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_5622c81e6c1c,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,1798,error_swallowed,P1,E0_STATIC_RULE_ONLY,50,,,[],[],false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
