linux_git_commit,linux_git_tag,file,function,path_id,error_line,candidate_type,severity,condition,exit_type,target_label,error_source_expr,held_resources,cleanup_calls,missing_cleanup_candidates,final_return_expr,evidence,reason
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/f2fs/checkpoint.c,__get_meta_page,__get_meta_page#002,82,missing_cleanup,P3,PageUptodate(page),goto,out,unknown,"[{""var"": ""page"", ""acquire_func"": ""f2fs_grab_cache_page"", ""resource_type"": ""f2fs_page"", ""release_functions"": [""f2fs_put_page"", ""put_page""], ""acquire_line"": 77, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]",[],"[""f2fs_put_page(page)""]",page,"{""acquired_resources"": [{""var"": ""page"", ""acquire_func"": ""f2fs_grab_cache_page"", ""resource_type"": ""f2fs_page"", ""release_functions"": [""f2fs_put_page"", ""put_page""], ""acquire_line"": 77, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}], ""missing_releases"": [""f2fs_put_page(page)""], ""cleanup_calls"": [], ""final_return_expr"": ""page""}",error path exits while resource acquired before error path has no matching release in cleanup.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/f2fs/checkpoint.c,get_checkpoint_version,get_checkpoint_version#001,852,missing_cleanup,P3,IS_ERR(*cp_page),return,,unknown,"[{""var"": ""cp_page"", ""acquire_func"": ""f2fs_get_meta_page"", ""resource_type"": ""f2fs_page"", ""release_functions"": [""f2fs_put_page"", ""put_page""], ""acquire_line"": 851, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]",[],"[""f2fs_put_page(cp_page)""]",PTR_ERR(*cp_page),"{""acquired_resources"": [{""var"": ""cp_page"", ""acquire_func"": ""f2fs_get_meta_page"", ""resource_type"": ""f2fs_page"", ""release_functions"": [""f2fs_put_page"", ""put_page""], ""acquire_line"": 851, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}], ""missing_releases"": [""f2fs_put_page(cp_page)""], ""cleanup_calls"": [], ""final_return_expr"": ""PTR_ERR(*cp_page)""}",error path exits while resource acquired before error path has no matching release in cleanup.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/f2fs/checkpoint.c,get_checkpoint_version,get_checkpoint_version#002,858,missing_cleanup,P3,crc_offset < CP_MIN_CHKSUM_OFFSET || crc_offset > CP_CHKSUM_OFFSET,return,,le32_to_cpu((*cp_block)->checksum_offset),"[{""var"": ""cp_page"", ""acquire_func"": ""f2fs_get_meta_page"", ""resource_type"": ""f2fs_page"", ""release_functions"": [""f2fs_put_page"", ""put_page""], ""acquire_line"": 851, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]","[""f2fs_put_page(*cp_page, 1)"", ""f2fs_warn(sbi, \""invalid crc_offset: %zu\"", crc_offset)""]","[""f2fs_put_page(cp_page)""]",-EINVAL,"{""acquired_resources"": [{""var"": ""cp_page"", ""acquire_func"": ""f2fs_get_meta_page"", ""resource_type"": ""f2fs_page"", ""release_functions"": [""f2fs_put_page"", ""put_page""], ""acquire_line"": 851, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}], ""missing_releases"": [""f2fs_put_page(cp_page)""], ""cleanup_calls"": [""f2fs_put_page(*cp_page, 1)"", ""f2fs_warn(sbi, \""invalid crc_offset: %zu\"", crc_offset)""], ""final_return_expr"": ""-EINVAL""}",error path exits while resource acquired before error path has no matching release in cleanup.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/f2fs/checkpoint.c,get_checkpoint_version,get_checkpoint_version#003,866,missing_cleanup,P3,crc != cur_cp_crc(*cp_block),return,,"f2fs_checkpoint_chksum(sbi, *cp_block)","[{""var"": ""cp_page"", ""acquire_func"": ""f2fs_get_meta_page"", ""resource_type"": ""f2fs_page"", ""release_functions"": [""f2fs_put_page"", ""put_page""], ""acquire_line"": 851, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]","[""f2fs_put_page(*cp_page, 1)"", ""f2fs_warn(sbi, \""invalid crc value\"")""]","[""f2fs_put_page(cp_page)""]",-EINVAL,"{""acquired_resources"": [{""var"": ""cp_page"", ""acquire_func"": ""f2fs_get_meta_page"", ""resource_type"": ""f2fs_page"", ""release_functions"": [""f2fs_put_page"", ""put_page""], ""acquire_line"": 851, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}], ""missing_releases"": [""f2fs_put_page(cp_page)""], ""cleanup_calls"": [""f2fs_put_page(*cp_page, 1)"", ""f2fs_warn(sbi, \""invalid crc value\"")""], ""final_return_expr"": ""-EINVAL""}",error path exits while resource acquired before error path has no matching release in cleanup.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/f2fs/checkpoint.c,validate_checkpoint,validate_checkpoint#001,887,error_swallowed,P2,err,return,,"get_checkpoint_version(sbi, cp_addr, &cp_block,",[],[],[],NULL,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [], ""final_return_expr"": ""NULL""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/f2fs/checkpoint.c,validate_checkpoint,validate_checkpoint#003,902,error_swallowed,P2,err,goto,invalid_cp,"get_checkpoint_version(sbi, cp_addr, &cp_block,",[],"[""f2fs_put_page(cp_page_1, 1)""]",[],NULL,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""f2fs_put_page(cp_page_1, 1)""], ""final_return_expr"": ""NULL""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/f2fs/compress.c,f2fs_write_compressed_pages,f2fs_write_compressed_pages#002,1263,missing_cleanup,P3,!f2fs_trylock_op(sbi),goto,out_free,unknown,"[{""var"": ""&sbi->node_write"", ""acquire_func"": ""f2fs_down_read"", ""resource_type"": ""f2fs_rwsem_read"", ""release_functions"": [""f2fs_up_read""], ""acquire_line"": 1262, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]","[""f2fs_compress_free_page(cc->cpages[i])"", ""page_array_free(cc->inode, cc->cpages, cc->nr_cpages)""]","[""f2fs_up_read(&sbi->node_write)""]",-EAGAIN,"{""acquired_resources"": [{""var"": ""&sbi->node_write"", ""acquire_func"": ""f2fs_down_read"", ""resource_type"": ""f2fs_rwsem_read"", ""release_functions"": [""f2fs_up_read""], ""acquire_line"": 1262, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}], ""missing_releases"": [""f2fs_up_read(&sbi->node_write)""], ""cleanup_calls"": [""f2fs_compress_free_page(cc->cpages[i])"", ""page_array_free(cc->inode, cc->cpages, cc->nr_cpages)""], ""final_return_expr"": ""-EAGAIN""}",error path exits while resource acquired before error path has no matching release in cleanup.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/f2fs/compress.c,f2fs_write_compressed_pages,f2fs_write_compressed_pages#009,1333,partial_cleanup,P2,i == 0,goto,unlock_continue,0,"[{""var"": ""&sbi->node_write"", ""acquire_func"": ""f2fs_down_read"", ""resource_type"": ""f2fs_rwsem_read"", ""release_functions"": [""f2fs_up_read""], ""acquire_line"": 1262, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}, {""var"": ""dn"", ""acquire_func"": ""f2fs_get_dnode_of_data"", ""resource_type"": ""f2fs_dnode"", ""release_functions"": [""f2fs_put_dnode""], ""acquire_line"": 1269, ""out_resource_arg"": 0, ""release_arg_index"": 0, ""release_arg_requires_address"": true, ""release_suggestion_template"": """"}, {""var"": ""cic"", ""acquire_func"": ""f2fs_kmem_cache_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 1287, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]","[""__is_valid_data_blkaddr(blkaddr)"", ""f2fs_invalidate_blocks(sbi, blkaddr)"", ""f2fs_update_data_blkaddr(&dn, COMPRESS_ADDR)"", ""inode_dec_dirty_pages(cc->inode)"", ""unlock_page(fio.page)"", ""f2fs_i_compr_blocks_update(inode, fio.compr_blocks - 1, false)"", ""f2fs_i_compr_blocks_update(inode, cc->valid_nr_cpages, true)"", ""add_compr_block_stat(inode, cc->valid_nr_cpages)"", ""set_inode_flag(cc->inode, FI_APPEND_WRITE)"", ""f2fs_put_dnode(&dn)"", ""f2fs_up_read(&sbi->node_write)"", ""f2fs_unlock_op(sbi)"", ""spin_lock(&fi->i_size_lock)"", ""spin_unlock(&fi->i_size_lock)"", ""f2fs_put_rpages(cc)"", ""page_array_free(cc->inode, cc->cpages, cc->nr_cpages)"", ""f2fs_destroy_compress_ctx(cc, false)""]","[""kmem_cache_free(cic)""]",0,"{""acquired_resources"": [{""var"": ""&sbi->node_write"", ""acquire_func"": ""f2fs_down_read"", ""resource_type"": ""f2fs_rwsem_read"", ""release_functions"": [""f2fs_up_read""], ""acquire_line"": 1262, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}, {""var"": ""dn"", ""acquire_func"": ""f2fs_get_dnode_of_data"", ""resource_type"": ""f2fs_dnode"", ""release_functions"": [""f2fs_put_dnode""], ""acquire_line"": 1269, ""out_resource_arg"": 0, ""release_arg_index"": 0, ""release_arg_requires_address"": true, ""release_suggestion_template"": """"}, {""var"": ""cic"", ""acquire_func"": ""f2fs_kmem_cache_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 1287, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}], ""missing_releases"": [""kmem_cache_free(cic)""], ""cleanup_calls"": [""__is_valid_data_blkaddr(blkaddr)"", ""f2fs_invalidate_blocks(sbi, blkaddr)"", ""f2fs_update_data_blkaddr(&dn, COMPRESS_ADDR)"", ""inode_dec_dirty_pages(cc->inode)"", ""unlock_page(fio.page)"", ""f2fs_i_compr_blocks_update(inode, fio.compr_blocks - 1, false)"", ""f2fs_i_compr_blocks_update(inode, cc->valid_nr_cpages, true)"", ""add_compr_block_stat(inode, cc->valid_nr_cpages)"", ""set_inode_flag(cc->inode, FI_APPEND_WRITE)"", ""f2fs_put_dnode(&dn)"", ""f2fs_up_read(&sbi->node_write)"", ""f2fs_unlock_op(sbi)"", ""spin_lock(&fi->i_size_lock)"", ""spin_unlock(&fi->i_size_lock)"", ""f2fs_put_rpages(cc)"", ""page_array_free(cc->inode, cc->cpages, cc->nr_cpages)"", ""f2fs_destroy_compress_ctx(cc, false)""], ""final_return_expr"": ""0""}",cleanup label releases some resources but not all resources acquired before the error path.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/f2fs/compress.c,f2fs_write_compressed_pages,f2fs_write_compressed_pages#009,1333,missing_cleanup,P2,i == 0,goto,unlock_continue,0,"[{""var"": ""&sbi->node_write"", ""acquire_func"": ""f2fs_down_read"", ""resource_type"": ""f2fs_rwsem_read"", ""release_functions"": [""f2fs_up_read""], ""acquire_line"": 1262, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}, {""var"": ""dn"", ""acquire_func"": ""f2fs_get_dnode_of_data"", ""resource_type"": ""f2fs_dnode"", ""release_functions"": [""f2fs_put_dnode""], ""acquire_line"": 1269, ""out_resource_arg"": 0, ""release_arg_index"": 0, ""release_arg_requires_address"": true, ""release_suggestion_template"": """"}, {""var"": ""cic"", ""acquire_func"": ""f2fs_kmem_cache_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 1287, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}]","[""__is_valid_data_blkaddr(blkaddr)"", ""f2fs_invalidate_blocks(sbi, blkaddr)"", ""f2fs_update_data_blkaddr(&dn, COMPRESS_ADDR)"", ""inode_dec_dirty_pages(cc->inode)"", ""unlock_page(fio.page)"", ""f2fs_i_compr_blocks_update(inode, fio.compr_blocks - 1, false)"", ""f2fs_i_compr_blocks_update(inode, cc->valid_nr_cpages, true)"", ""add_compr_block_stat(inode, cc->valid_nr_cpages)"", ""set_inode_flag(cc->inode, FI_APPEND_WRITE)"", ""f2fs_put_dnode(&dn)"", ""f2fs_up_read(&sbi->node_write)"", ""f2fs_unlock_op(sbi)"", ""spin_lock(&fi->i_size_lock)"", ""spin_unlock(&fi->i_size_lock)"", ""f2fs_put_rpages(cc)"", ""page_array_free(cc->inode, cc->cpages, cc->nr_cpages)"", ""f2fs_destroy_compress_ctx(cc, false)""]","[""kmem_cache_free(cic)""]",0,"{""acquired_resources"": [{""var"": ""&sbi->node_write"", ""acquire_func"": ""f2fs_down_read"", ""resource_type"": ""f2fs_rwsem_read"", ""release_functions"": [""f2fs_up_read""], ""acquire_line"": 1262, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}, {""var"": ""dn"", ""acquire_func"": ""f2fs_get_dnode_of_data"", ""resource_type"": ""f2fs_dnode"", ""release_functions"": [""f2fs_put_dnode""], ""acquire_line"": 1269, ""out_resource_arg"": 0, ""release_arg_index"": 0, ""release_arg_requires_address"": true, ""release_suggestion_template"": """"}, {""var"": ""cic"", ""acquire_func"": ""f2fs_kmem_cache_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 1287, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """"}], ""missing_releases"": [""kmem_cache_free(cic)""], ""cleanup_calls"": [""__is_valid_data_blkaddr(blkaddr)"", ""f2fs_invalidate_blocks(sbi, blkaddr)"", ""f2fs_update_data_blkaddr(&dn, COMPRESS_ADDR)"", ""inode_dec_dirty_pages(cc->inode)"", ""unlock_page(fio.page)"", ""f2fs_i_compr_blocks_update(inode, fio.compr_blocks - 1, false)"", ""f2fs_i_compr_blocks_update(inode, cc->valid_nr_cpages, true)"", ""add_compr_block_stat(inode, cc->valid_nr_cpages)"", ""set_inode_flag(cc->inode, FI_APPEND_WRITE)"", ""f2fs_put_dnode(&dn)"", ""f2fs_up_read(&sbi->node_write)"", ""f2fs_unlock_op(sbi)"", ""spin_lock(&fi->i_size_lock)"", ""spin_unlock(&fi->i_size_lock)"", ""f2fs_put_rpages(cc)"", ""page_array_free(cc->inode, cc->cpages, cc->nr_cpages)"", ""f2fs_destroy_compress_ctx(cc, false)""], ""final_return_expr"": ""0""}",error path exits while resource acquired before error path has no matching release in cleanup.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/f2fs/compress.c,f2fs_write_multi_pages,f2fs_write_multi_pages#003,1538,error_swallowed,P1,!err,return,,"f2fs_write_compressed_pages(cc, submitted,",[],[],[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
