candidate_id,file,function,error_line,candidate_type,severity,evidence_level,evidence_score,historical_fix_ids,fixed_versions,matched_protocol_ids,required_actions,has_exception_hints,exception_hints,released_by_wrapper_possible,ownership_transfer_possible,manual_verdict,manual_confidence,manual_review_source,manual_confirmed_exception,manual_exception_type,manual_score_adjustment,manual_reason,manual_next_action,manual_validation_hint,score_explanation,missing_evidence,final_return_expr
candidate_ad6dddcce889,fs/ext4/ialloc.c,__ext4_new_inode,1091,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,,,"[""journal.ext4_journal_start.stop""]","[""ext4_journal_stop""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ERR_PTR(err)
candidate_fbf9cc53c02e,fs/ext4/ialloc.c,__ext4_new_inode,1111,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,,,"[""journal.ext4_journal_start.stop""]","[""ext4_journal_stop""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ERR_PTR(err)
candidate_3365dcb2260a,fs/ext4/extents.c,ext4_ext_shift_extents,5272,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.kmalloc.kzalloc.kcalloc.kmem_cache_alloc.kfree""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-EFSCORRUPTED
candidate_83348633593a,fs/ext4/namei.c,ext4_dx_add_entry,2580,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""buffer_head.sb_bread.bread.ext4_bread.ext4_getblk.brelse""]","[""brelse""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",unknown
candidate_e24376c62d6b,fs/ext4/namei.c,ext4_dx_add_entry,2592,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""buffer_head.sb_bread.bread.ext4_bread.ext4_getblk.brelse""]","[""brelse""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",unknown
candidate_8e160b72f8ad,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,1753,error_swallowed,P1,E0_STATIC_RULE_ONLY,50,,,[],[],false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_e9b6314ec65b,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,1772,error_swallowed,P1,E0_STATIC_RULE_ONLY,50,,,[],[],false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_b4dd71fcd934,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,1805,error_swallowed,P1,E0_STATIC_RULE_ONLY,50,,,[],[],false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_e278a713b601,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,1826,error_swallowed,P1,E0_STATIC_RULE_ONLY,50,,,[],[],false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_c35ee0ef3b59,fs/ext4/fast_commit.c,ext4_fc_replay_del_range,1870,error_swallowed,P1,E0_STATIC_RULE_ONLY,50,,,[],[],false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
