candidate_id,file,function,error_line,candidate_type,severity,evidence_level,evidence_score,historical_fix_ids,fixed_versions,matched_protocol_ids,required_actions,has_exception_hints,exception_hints,released_by_wrapper_possible,ownership_transfer_possible,manual_verdict,manual_confidence,manual_review_source,manual_confirmed_exception,manual_exception_type,manual_score_adjustment,manual_reason,manual_next_action,manual_validation_hint,score_explanation,missing_evidence,final_return_expr
candidate_e09ffeea7244,fs/f2fs/node.c,f2fs_build_node_manager,3356,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""f2fs.memory.kmalloc.family.free"", ""f2fs.memory.kv.family.kvfree"", ""f2fs.memory.slab.alloc.free""]","[""kfree"", ""kvfree"", ""kmem_cache_free""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",err
candidate_76f7d3dad412,fs/f2fs/node.c,f2fs_build_node_manager,3360,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""f2fs.memory.kmalloc.family.free"", ""f2fs.memory.kv.family.kvfree"", ""f2fs.memory.slab.alloc.free""]","[""kfree"", ""kvfree"", ""kmem_cache_free""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",err
candidate_2464e78f5bdc,fs/f2fs/node.c,init_free_nid_cache,3334,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""f2fs.memory.kv.family.kvfree""]","[""kvfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-ENOMEM
candidate_af17e26bf6a3,fs/f2fs/node.c,init_free_nid_cache,3341,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""f2fs.memory.kv.family.kvfree"", ""f2fs.memory.kv.family.kvfree""]","[""kvfree"", ""kvfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-ENOMEM
candidate_130f29f2dd39,fs/f2fs/recovery.c,find_fsync_dnodes,456,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""f2fs.memory.slab.alloc.free""]","[""kmem_cache_free""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",err
candidate_315da29356a6,fs/f2fs/recovery.c,find_fsync_dnodes,456,partial_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""f2fs.memory.slab.alloc.free""]","[""kmem_cache_free""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",err
candidate_258f53ff2ab0,fs/f2fs/super.c,f2fs_scan_devices,4322,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""f2fs.memory.kmalloc.family.free"", ""f2fs.memory.kv.family.kvfree"", ""f2fs.memory.slab.alloc.free""]","[""kfree"", ""kvfree"", ""kmem_cache_free""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",PTR_ERR(FDEV(i).bdev_file)
candidate_f59a996d2a03,fs/f2fs/super.c,f2fs_scan_devices,4334,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""f2fs.memory.kmalloc.family.free"", ""f2fs.memory.kv.family.kvfree"", ""f2fs.memory.slab.alloc.free""]","[""kfree"", ""kvfree"", ""kmem_cache_free""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-EINVAL
candidate_2d378ab3f702,fs/f2fs/super.c,f2fs_scan_devices,4338,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""f2fs.memory.kmalloc.family.free"", ""f2fs.memory.kv.family.kvfree"", ""f2fs.memory.slab.alloc.free""]","[""kfree"", ""kvfree"", ""kmem_cache_free""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-EINVAL
candidate_dbc10c031318,fs/f2fs/super.c,init_blkz_info,3978,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""f2fs.memory.kv.family.kvfree""]","[""kvfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
