linux_git_commit,linux_git_tag,file,function,path_id,error_line,candidate_type,severity,condition,exit_type,target_label,error_source_expr,held_resources,cleanup_calls,missing_cleanup_candidates,final_return_expr,evidence,reason
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/compress.c,f2fs_prepare_decomp_mem,f2fs_prepare_decomp_mem#003,1653,missing_cleanup,P2,!dic->rbuf,return,,"f2fs_vmap(dic->tpages, dic->cluster_size)","[{""var"": ""dic->tpages"", ""acquire_func"": ""page_array_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 1639, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],"[""kfree(dic->tpages)""]",-ENOMEM,"{""acquired_resources"": [{""var"": ""dic->tpages"", ""acquire_func"": ""page_array_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 1639, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""kfree(dic->tpages)""], ""cleanup_calls"": [], ""final_return_expr"": ""-ENOMEM""}",error path exits while resource acquired before error path has no matching release in cleanup.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/compress.c,f2fs_prepare_decomp_mem,f2fs_prepare_decomp_mem#004,1657,missing_cleanup,P2,!dic->cbuf,return,,"f2fs_vmap(dic->cpages, dic->nr_cpages)","[{""var"": ""dic->tpages"", ""acquire_func"": ""page_array_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 1639, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],"[""kfree(dic->tpages)""]",-ENOMEM,"{""acquired_resources"": [{""var"": ""dic->tpages"", ""acquire_func"": ""page_array_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 1639, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""kfree(dic->tpages)""], ""cleanup_calls"": [], ""final_return_expr"": ""-ENOMEM""}",error path exits while resource acquired before error path has no matching release in cleanup.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/compress.c,f2fs_alloc_dic,f2fs_alloc_dic#003,1721,missing_cleanup,P2,!dic->cpages,goto,out_free,"page_array_alloc(dic->inode, dic->nr_cpages)","[{""var"": ""dic"", ""acquire_func"": ""f2fs_kmem_cache_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 1695, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""dic->rpages"", ""acquire_func"": ""page_array_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 1699, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""f2fs_free_dic(dic, true)""]","[""kmem_cache_free(dic)"", ""kfree(dic->rpages)""]",ERR_PTR(ret),"{""acquired_resources"": [{""var"": ""dic"", ""acquire_func"": ""f2fs_kmem_cache_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 1695, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""dic->rpages"", ""acquire_func"": ""page_array_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 1699, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""kmem_cache_free(dic)"", ""kfree(dic->rpages)""], ""cleanup_calls"": [""f2fs_free_dic(dic, true)""], ""final_return_expr"": ""ERR_PTR(ret)""}",error path exits while resource acquired before error path has no matching release in cleanup.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/compress.c,f2fs_alloc_dic,f2fs_alloc_dic#004,1736,missing_cleanup,P2,ret,goto,out_free,"f2fs_prepare_decomp_mem(dic, true)","[{""var"": ""dic"", ""acquire_func"": ""f2fs_kmem_cache_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 1695, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""dic->rpages"", ""acquire_func"": ""page_array_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 1699, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""dic->cpages"", ""acquire_func"": ""page_array_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 1720, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""f2fs_free_dic(dic, true)""]","[""kmem_cache_free(dic)"", ""kfree(dic->rpages)"", ""kfree(dic->cpages)""]",ERR_PTR(ret),"{""acquired_resources"": [{""var"": ""dic"", ""acquire_func"": ""f2fs_kmem_cache_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 1695, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""dic->rpages"", ""acquire_func"": ""page_array_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 1699, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""dic->cpages"", ""acquire_func"": ""page_array_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 1720, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""kmem_cache_free(dic)"", ""kfree(dic->rpages)"", ""kfree(dic->cpages)""], ""cleanup_calls"": [""f2fs_free_dic(dic, true)""], ""final_return_expr"": ""ERR_PTR(ret)""}",error path exits while resource acquired before error path has no matching release in cleanup.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/data.c,f2fs_get_new_data_page,f2fs_get_new_data_page#002,1352,partial_cleanup,P2,err,return,,"f2fs_reserve_block(&dn, index)","[{""var"": ""page"", ""acquire_func"": ""f2fs_grab_cache_page"", ""resource_type"": ""f2fs_page"", ""release_functions"": [""f2fs_put_page"", ""put_page""], ""acquire_line"": 1340, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""dn"", ""acquire_func"": ""f2fs_reserve_block"", ""resource_type"": ""f2fs_dnode"", ""release_functions"": [""f2fs_put_dnode""], ""acquire_line"": 1351, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""f2fs_put_page(page, 1)""]","[""f2fs_put_dnode(dn)""]",ERR_PTR(err),"{""acquired_resources"": [{""var"": ""page"", ""acquire_func"": ""f2fs_grab_cache_page"", ""resource_type"": ""f2fs_page"", ""release_functions"": [""f2fs_put_page"", ""put_page""], ""acquire_line"": 1340, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""dn"", ""acquire_func"": ""f2fs_reserve_block"", ""resource_type"": ""f2fs_dnode"", ""release_functions"": [""f2fs_put_dnode""], ""acquire_line"": 1351, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""f2fs_put_dnode(dn)""], ""cleanup_calls"": [""f2fs_put_page(page, 1)""], ""final_return_expr"": ""ERR_PTR(err)""}",cleanup label releases some resources but not all resources acquired before the error path.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/data.c,f2fs_get_new_data_page,f2fs_get_new_data_page#002,1352,missing_cleanup,P3,err,return,,"f2fs_reserve_block(&dn, index)","[{""var"": ""page"", ""acquire_func"": ""f2fs_grab_cache_page"", ""resource_type"": ""f2fs_page"", ""release_functions"": [""f2fs_put_page"", ""put_page""], ""acquire_line"": 1340, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""dn"", ""acquire_func"": ""f2fs_reserve_block"", ""resource_type"": ""f2fs_dnode"", ""release_functions"": [""f2fs_put_dnode""], ""acquire_line"": 1351, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""f2fs_put_page(page, 1)""]","[""f2fs_put_dnode(dn)""]",ERR_PTR(err),"{""acquired_resources"": [{""var"": ""page"", ""acquire_func"": ""f2fs_grab_cache_page"", ""resource_type"": ""f2fs_page"", ""release_functions"": [""f2fs_put_page"", ""put_page""], ""acquire_line"": 1340, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""dn"", ""acquire_func"": ""f2fs_reserve_block"", ""resource_type"": ""f2fs_dnode"", ""release_functions"": [""f2fs_put_dnode""], ""acquire_line"": 1351, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""f2fs_put_dnode(dn)""], ""cleanup_calls"": [""f2fs_put_page(page, 1)""], ""final_return_expr"": ""ERR_PTR(err)""}",error path exits while resource acquired before error path has no matching release in cleanup.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/data.c,f2fs_read_multi_pages,f2fs_read_multi_pages#008,2295,partial_cleanup,P2,IS_ERR(bio),return,,"f2fs_grab_read_bio(inode, blkaddr, nr_pages,","[{""var"": ""dic"", ""acquire_func"": ""f2fs_alloc_dic"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 2257, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""dn"", ""acquire_func"": ""f2fs_get_dnode_of_data"", ""resource_type"": ""f2fs_dnode"", ""release_functions"": [""f2fs_put_dnode""], ""acquire_line"": 2220, ""out_resource_arg"": 0, ""release_arg_index"": 0, ""release_arg_requires_address"": true, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""PTR_ERR(bio)"", ""f2fs_decompress_end_io(dic, ret, true)"", ""f2fs_put_dnode(&dn)""]","[""kmem_cache_free(dic)""]",ret,"{""acquired_resources"": [{""var"": ""dic"", ""acquire_func"": ""f2fs_alloc_dic"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 2257, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""dn"", ""acquire_func"": ""f2fs_get_dnode_of_data"", ""resource_type"": ""f2fs_dnode"", ""release_functions"": [""f2fs_put_dnode""], ""acquire_line"": 2220, ""out_resource_arg"": 0, ""release_arg_index"": 0, ""release_arg_requires_address"": true, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""kmem_cache_free(dic)""], ""cleanup_calls"": [""PTR_ERR(bio)"", ""f2fs_decompress_end_io(dic, ret, true)"", ""f2fs_put_dnode(&dn)""], ""final_return_expr"": ""ret""}",cleanup label releases some resources but not all resources acquired before the error path.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/data.c,f2fs_read_multi_pages,f2fs_read_multi_pages#008,2295,missing_cleanup,P2,IS_ERR(bio),return,,"f2fs_grab_read_bio(inode, blkaddr, nr_pages,","[{""var"": ""dic"", ""acquire_func"": ""f2fs_alloc_dic"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 2257, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""dn"", ""acquire_func"": ""f2fs_get_dnode_of_data"", ""resource_type"": ""f2fs_dnode"", ""release_functions"": [""f2fs_put_dnode""], ""acquire_line"": 2220, ""out_resource_arg"": 0, ""release_arg_index"": 0, ""release_arg_requires_address"": true, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""PTR_ERR(bio)"", ""f2fs_decompress_end_io(dic, ret, true)"", ""f2fs_put_dnode(&dn)""]","[""kmem_cache_free(dic)""]",ret,"{""acquired_resources"": [{""var"": ""dic"", ""acquire_func"": ""f2fs_alloc_dic"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 2257, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""dn"", ""acquire_func"": ""f2fs_get_dnode_of_data"", ""resource_type"": ""f2fs_dnode"", ""release_functions"": [""f2fs_put_dnode""], ""acquire_line"": 2220, ""out_resource_arg"": 0, ""release_arg_index"": 0, ""release_arg_requires_address"": true, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""kmem_cache_free(dic)""], ""cleanup_calls"": [""PTR_ERR(bio)"", ""f2fs_decompress_end_io(dic, ret, true)"", ""f2fs_put_dnode(&dn)""], ""final_return_expr"": ""ret""}",error path exits while resource acquired before error path has no matching release in cleanup.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/dir.c,find_in_level,find_in_level#001,316,missing_cleanup,P3,de,return,,NULL,"[{""var"": ""dentry_page"", ""acquire_func"": ""f2fs_find_data_page"", ""resource_type"": ""f2fs_page"", ""release_functions"": [""f2fs_put_page"", ""put_page""], ""acquire_line"": 287, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],"[""f2fs_put_page(dentry_page)""]",de,"{""acquired_resources"": [{""var"": ""dentry_page"", ""acquire_func"": ""f2fs_find_data_page"", ""resource_type"": ""f2fs_page"", ""release_functions"": [""f2fs_put_page"", ""put_page""], ""acquire_line"": 287, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""f2fs_put_page(dentry_page)""], ""cleanup_calls"": [], ""final_return_expr"": ""de""}",error path exits while resource acquired before error path has no matching release in cleanup.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/f2fs/file.c,f2fs_vm_page_mkwrite,f2fs_vm_page_mkwrite#008,129,missing_cleanup,P3,err,goto,out_sem,-EIO,"[{""var"": ""dn"", ""acquire_func"": ""f2fs_get_dnode_of_data"", ""resource_type"": ""f2fs_dnode"", ""release_functions"": [""f2fs_put_dnode""], ""acquire_line"": 121, ""out_resource_arg"": 0, ""release_arg_index"": 0, ""release_arg_requires_address"": true, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""dn"", ""acquire_func"": ""f2fs_get_block_locked"", ""resource_type"": ""f2fs_dnode"", ""release_functions"": [""f2fs_put_dnode""], ""acquire_line"": 120, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""folio_unlock(folio)"", ""filemap_invalidate_unlock_shared(inode->i_mapping)"", ""sb_end_pagefault(inode->i_sb)"", ""vmf_fs_error(err)"", ""trace_f2fs_vm_page_mkwrite(inode, folio->index, vmf->vma->vm_flags, ret)""]","[""f2fs_put_dnode(dn)"", ""f2fs_put_dnode(dn)""]",ret,"{""acquired_resources"": [{""var"": ""dn"", ""acquire_func"": ""f2fs_get_dnode_of_data"", ""resource_type"": ""f2fs_dnode"", ""release_functions"": [""f2fs_put_dnode""], ""acquire_line"": 121, ""out_resource_arg"": 0, ""release_arg_index"": 0, ""release_arg_requires_address"": true, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""dn"", ""acquire_func"": ""f2fs_get_block_locked"", ""resource_type"": ""f2fs_dnode"", ""release_functions"": [""f2fs_put_dnode""], ""acquire_line"": 120, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""f2fs_put_dnode(dn)"", ""f2fs_put_dnode(dn)""], ""cleanup_calls"": [""folio_unlock(folio)"", ""filemap_invalidate_unlock_shared(inode->i_mapping)"", ""sb_end_pagefault(inode->i_sb)"", ""vmf_fs_error(err)"", ""trace_f2fs_vm_page_mkwrite(inode, folio->index, vmf->vma->vm_flags, ret)""], ""final_return_expr"": ""ret""}",error path exits while resource acquired before error path has no matching release in cleanup.
