linux_git_commit,linux_git_tag,file,function,function_start_line,function_end_line,path_id,error_line,condition,condition_type,error_var,error_source_expr,exit_type,target_label,cleanup_calls,final_return_expr,held_resources,missing_cleanup_candidates,confidence,reason
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_acl.c,xfs_acl_from_disk,30,95,xfs_acl_from_disk#001,42,len < sizeof(*aclp),invalid_size,len,function_parameter,return,,"[""XFS_CORRUPTION_ERROR(__func__, XFS_ERRLEVEL_LOW, mp, aclp, len)""]",ERR_PTR(-EFSCORRUPTED),[],[],high,ERR_PTR return under invalid_size condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_acl.c,xfs_acl_from_disk,30,95,xfs_acl_from_disk#002,49,count > max_entries || XFS_ACL_SIZE(count) != len,state_or_validation_error,count,be32_to_cpu(aclp->acl_cnt),return,,"[""XFS_CORRUPTION_ERROR(__func__, XFS_ERRLEVEL_LOW, mp, aclp, len)""]",ERR_PTR(-EFSCORRUPTED),[],[],high,ERR_PTR return under state_or_validation_error condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_acl.c,xfs_acl_from_disk,30,95,xfs_acl_from_disk#003,56,!acl,null_check,acl,"posix_acl_alloc(count, GFP_KERNEL)",return,,[],ERR_PTR(-ENOMEM),[],[],high,ERR_PTR return under null_check condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_acl.c,xfs_get_acl,128,172,xfs_get_acl#001,141,rcu,state_or_validation_error,rcu,function_parameter,return,,[],ERR_PTR(-ECHILD),[],[],medium,ERR_PTR return under state_or_validation_error condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_acl.c,__xfs_set_acl,174,218,__xfs_set_acl#002,194,,negative_errno_return,unknown,unknown,return,,[],-EINVAL,[],[],high,direct negative_errno_return
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_acl.c,__xfs_set_acl,174,218,__xfs_set_acl#003,201,!args.value,null_check,args.value,"kvzalloc(args.valuelen, GFP_KERNEL)",return,,[],-ENOMEM,[],[],high,negative errno return under null_check condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_acl.c,xfs_acl_set_mode,220,243,xfs_acl_set_mode#001,231,error,ret_nonzero,error,"xfs_trans_alloc(mp, &M_RES(mp)->tr_ichange, 0, 0, 0, &tp)",return,,[],error,[],[],high,return error under ret_nonzero condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_acl.c,xfs_set_acl,245,278,xfs_set_acl#001,254,!acl,null_check,acl,function_parameter,goto,set_acl,"[""__xfs_set_acl(inode, acl, type)"", ""xfs_acl_set_mode(inode, mode)""]",error,[],[],high,"goto set_acl under null_check condition, final return error; resolved label cleanup until return"
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_acl.c,xfs_set_acl,245,278,xfs_set_acl#002,258,acl->a_count > XFS_ACL_MAX_ENTRIES(XFS_M(inode->i_sb)),unknown_error_like,acl,function_parameter,return,,[],error,[],[],medium,return error under unknown_error_like condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_acl.c,xfs_set_acl,245,278,xfs_set_acl#003,263,error,ret_nonzero,error,"posix_acl_update_mode(idmap, inode, &mode, &acl)",return,,[],error,[],[],high,return error under ret_nonzero condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_aops.c,xfs_setfilesize,48,78,xfs_setfilesize#001,60,error,ret_nonzero,error,"xfs_trans_alloc(mp, &M_RES(mp)->tr_fsyncts, 0, 0, 0, &tp)",return,,[],error,[],[],high,return error under ret_nonzero condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_aops.c,xfs_setfilesize,48,78,xfs_setfilesize#002,65,!isize,null_check,isize,"xfs_new_eof(ip, offset + size)",return,,"[""xfs_iunlock(ip, XFS_ILOCK_EXCL)"", ""xfs_trans_cancel(tp)""]",0,"[{""var"": ""tp"", ""acquire_func"": ""xfs_trans_alloc"", ""resource_type"": ""xfs_transaction"", ""release_functions"": [""xfs_trans_cancel"", ""xfs_trans_commit""], ""acquire_line"": 59, ""out_resource_arg"": 5, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 63, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],high,"return 0 under null_check condition; resource tp acquired by xfs_trans_alloc before path, released by xfs_trans_cancel(tp); resource ip acquired by xfs_ilock before path, released by xfs_iunlock(ip, XFS_ILOCK_EXCL)"
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_aops.c,xfs_end_ioend,83,139,xfs_end_ioend#002,117,error,ret_nonzero,error,blk_status_to_errno(ioend->io_bio.bi_status),goto,done,"[""xfs_reflink_cancel_cow_range(ip, offset, size, true)"", ""xfs_bmap_punch_delalloc_range(ip, XFS_DATA_FORK, offset, offset + size)"", ""iomap_finish_ioends(ioend, error)"", ""memalloc_nofs_restore(nofs_flag)""]",unknown,[],[],high,"goto done under ret_nonzero condition, final return unknown; label found but no return reached"
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_aops.c,xfs_imap_valid,199,235,xfs_imap_valid#003,223,XFS_WPC(wpc)->data_seq != READ_ONCE(ip->i_df.if_seq),state_or_validation_error,XFS_WPC,unknown,return,,"[""trace_xfs_wb_data_iomap_invalid(ip, &wpc->iomap, XFS_WPC(wpc)->data_seq, XFS_DATA_FORK)""]",false,[],[],medium,return false under state_or_validation_error condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_aops.c,xfs_imap_valid,199,235,xfs_imap_valid#004,228,xfs_inode_has_cow_data(ip) && XFS_WPC(wpc)->cow_seq != READ_ONCE(ip->i_cowfp->if_seq),state_or_validation_error,xfs_inode_has_cow_data,unknown,return,,"[""trace_xfs_wb_cow_iomap_invalid(ip, &wpc->iomap, XFS_WPC(wpc)->cow_seq, XFS_COW_FORK)""]",false,[],[],medium,return false under state_or_validation_error condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_aops.c,xfs_map_blocks,237,396,xfs_map_blocks#001,257,xfs_is_shutdown(mp),unknown_error_like,xfs_is_shutdown,unknown,return,,[],-EIO,[],[],medium,negative errno return under unknown_error_like condition
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_aops.c,xfs_map_blocks,237,396,xfs_map_blocks#003,299,cow_fsb != NULLFILEOFF && cow_fsb <= offset_fsb,state_or_validation_error,cow_fsb,imap.br_startoff,goto,allocate_blocks,"[""XFS_WPC(wpc)"", ""READ_ONCE(ip->i_cowfp->if_seq)"", ""xfs_iunlock(ip, XFS_ILOCK_SHARED)"", ""XFS_WPC(wpc)"", ""XFS_WPC(wpc)""]",unknown,"[{""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 289, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],medium,"goto allocate_blocks under state_or_validation_error condition, final return unknown; label chain forms a control-flow cycle; resource ip acquired by xfs_ilock before path, released by xfs_iunlock(ip, XFS_ILOCK_SHARED) in allocate_blocks label"
