linux_git_commit,linux_git_tag,file,function,path_id,error_line,candidate_type,severity,condition,exit_type,target_label,error_source_expr,held_resources,cleanup_calls,missing_cleanup_candidates,final_return_expr,evidence,reason
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/extents.c,ext4_fill_es_cache_info,ext4_fill_es_cache_info#002,2224,error_swallowed,P1,err == 1,return,,"fiemap_fill_next_extent(fieinfo,",[],[],[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/extents.c,skip_hole,skip_hole#002,5981,error_swallowed,P1,ret != 0,return,,"ext4_map_blocks(NULL, inode, &map, 0)",[],[],[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/extents.c,ext4_ext_replay_set_iblocks,ext4_ext_replay_set_iblocks#003,6032,error_swallowed,P1,ret < 0,goto,out,"skip_hole(inode, &cur)",[],"[""ext4_mark_inode_dirty(NULL, inode)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""ext4_mark_inode_dirty(NULL, inode)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/fast_commit.c,ext4_fc_reserve_space,ext4_fc_reserve_space#002,708,error_swallowed,P2,ret,return,,"jbd2_fc_get_buf(EXT4_SB(sb)->s_journal, &bh)",[],[],[],NULL,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [], ""final_return_expr"": ""NULL""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/fast_commit.c,ext4_fc_reserve_space,ext4_fc_reserve_space#004,738,error_swallowed,P2,ret,return,,"jbd2_fc_get_buf(EXT4_SB(sb)->s_journal, &bh)",[],[],[],NULL,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [], ""final_return_expr"": ""NULL""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/fast_commit.c,ext4_fc_replay_inode,ext4_fc_replay_inode#001,1542,error_swallowed,P1,ret,goto,out,"ext4_fc_record_modified_inode(sb, ino)",[],"[""iput(inode)"", ""blkdev_issue_flush(sb->s_bdev)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""iput(inode)"", ""blkdev_issue_flush(sb->s_bdev)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/fast_commit.c,ext4_fc_replay_inode,ext4_fc_replay_inode#002,1548,error_swallowed,P1,ret,goto,out,"ext4_get_fc_inode_loc(sb, ino, &iloc)",[],"[""iput(inode)"", ""blkdev_issue_flush(sb->s_bdev)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""iput(inode)"", ""blkdev_issue_flush(sb->s_bdev)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/fast_commit.c,ext4_fc_replay_inode,ext4_fc_replay_inode#003,1574,error_swallowed,P1,ret,goto,out,"ext4_handle_dirty_metadata(NULL, NULL, iloc.bh)",[],"[""iput(inode)"", ""blkdev_issue_flush(sb->s_bdev)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""iput(inode)"", ""blkdev_issue_flush(sb->s_bdev)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/fast_commit.c,ext4_fc_replay_inode,ext4_fc_replay_inode#004,1577,error_swallowed,P1,ret,goto,out,sync_dirty_buffer(iloc.bh),[],"[""iput(inode)"", ""blkdev_issue_flush(sb->s_bdev)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""iput(inode)"", ""blkdev_issue_flush(sb->s_bdev)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/fast_commit.c,ext4_fc_replay_inode,ext4_fc_replay_inode#005,1580,error_swallowed,P1,ret,goto,out,"ext4_mark_inode_used(sb, ino)",[],"[""iput(inode)"", ""blkdev_issue_flush(sb->s_bdev)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""iput(inode)"", ""blkdev_issue_flush(sb->s_bdev)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,ext4_fc_replay_add_range#002,1745,error_swallowed,P1,ret,goto,out,"ext4_fc_record_modified_inode(sb, inode->i_ino)",[],"[""iput(inode)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""iput(inode)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,ext4_fc_replay_add_range#003,1764,error_swallowed,P1,ret < 0,goto,out,"ext4_map_blocks(NULL, inode, &map, 0)",[],"[""iput(inode)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""iput(inode)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,ext4_fc_replay_add_range#004,1767,error_swallowed,P1,ret == 0,goto,next,"ext4_map_blocks(NULL, inode, &map, 0)",[],"[""ext4_find_extent(inode, cur, NULL, 0)"", ""IS_ERR(path)"", ""memset(&newex, 0, sizeof(newex))"", ""cpu_to_le32(cur)"", ""ext4_ext_store_pblock( &newex, start_pblk + cur - start)"", ""cpu_to_le16(map.m_len)"", ""ext4_ext_is_unwritten(ex)"", ""ext4_ext_mark_unwritten(&newex)"", ""down_write(&EXT4_I(inode)->i_data_sem)"", ""ext4_ext_insert_extent( NULL, inode, &path, &newex, 0)"", ""up_write((&EXT4_I(inode)->i_data_sem))"", ""ext4_free_ext_path(path)"", ""i_size_read(inode)"", ""iput(inode)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""ext4_find_extent(inode, cur, NULL, 0)"", ""IS_ERR(path)"", ""memset(&newex, 0, sizeof(newex))"", ""cpu_to_le32(cur)"", ""ext4_ext_store_pblock( &newex, start_pblk + cur - start)"", ""cpu_to_le16(map.m_len)"", ""ext4_ext_is_unwritten(ex)"", ""ext4_ext_mark_unwritten(&newex)"", ""down_write(&EXT4_I(inode)->i_data_sem)"", ""ext4_ext_insert_extent( NULL, inode, &path, &newex, 0)"", ""up_write((&EXT4_I(inode)->i_data_sem))"", ""ext4_free_ext_path(path)"", ""i_size_read(inode)"", ""iput(inode)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,ext4_fc_replay_add_range#006,1784,error_swallowed,P1,ret,goto,out,ext4_ext_insert_extent(,[],"[""iput(inode)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""iput(inode)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,ext4_fc_replay_add_range#008,1798,error_swallowed,P1,ret,goto,out,"ext4_ext_replay_update_ex(inode, cur, map.m_len,",[],"[""iput(inode)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""iput(inode)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/fast_commit.c,ext4_fc_replay_add_range,ext4_fc_replay_add_range#009,1819,error_swallowed,P1,ret,goto,out,"ext4_ext_replay_update_ex(inode, cur, map.m_len,",[],"[""iput(inode)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""iput(inode)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/fast_commit.c,ext4_fc_replay_del_range,ext4_fc_replay_del_range#002,1862,error_swallowed,P1,ret,goto,out,"ext4_fc_record_modified_inode(sb, inode->i_ino)",[],"[""iput(inode)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""iput(inode)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/fast_commit.c,ext4_fc_replay_del_range,ext4_fc_replay_del_range#003,1873,error_swallowed,P1,ret < 0,goto,out,"ext4_map_blocks(NULL, inode, &map, 0)",[],"[""iput(inode)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""iput(inode)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/fast_commit.c,ext4_fc_replay_del_range,ext4_fc_replay_del_range#004,1890,error_swallowed,P1,ret,goto,out,le32_to_cpu(lrange.fc_lblk),[],"[""iput(inode)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""iput(inode)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/ialloc.c,find_group_orlov,find_group_orlov#002,484,error_swallowed,P1,ret,goto,fallback,0,[],"[""EXT4_I(parent)"", ""ext4_get_group_desc(sb, grp, NULL)"", ""ext4_free_inodes_count(sb, desc)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""EXT4_I(parent)"", ""ext4_get_group_desc(sb, grp, NULL)"", ""ext4_free_inodes_count(sb, desc)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/inline.c,ext4_get_max_inline_size,ext4_get_max_inline_size#002,115,error_swallowed,P1,error,return,,"ext4_get_inode_loc(inode, &iloc)",[],"[""ext4_error_inode_err(inode, __func__, __LINE__, 0, -error, \""can't get inode location %lu\"", inode->i_ino)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""ext4_error_inode_err(inode, __func__, __LINE__, 0, -error, \""can't get inode location %lu\"", inode->i_ino)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/inline.c,ext4_get_first_inline_block,ext4_get_first_inline_block#001,1612,error_swallowed,P2,*retval,return,,"ext4_get_inode_loc(inode, &iloc)",[],[],[],NULL,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [], ""final_return_expr"": ""NULL""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/inode.c,ext4_write_begin,ext4_write_begin#003,1147,error_swallowed,P1,ret == 1,return,,"ext4_try_to_write_inline_data(mapping, inode, pos, len,",[],[],[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/ext4/inode.c,ext4_da_write_begin,ext4_da_write_begin#004,2880,error_swallowed,P1,ret == 1,return,,"ext4_da_write_inline_data_begin(mapping, inode, pos, len,",[],[],[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
