candidate_id,file,function,error_line,candidate_type,severity,evidence_level,evidence_score,matched_protocol_ids,required_actions,has_exception_hints,exception_hints,released_by_wrapper_possible,ownership_transfer_possible,manual_verdict,manual_confidence,manual_review_source,manual_confirmed_exception,manual_exception_type,manual_score_adjustment,manual_reason,manual_next_action,manual_validation_hint,score_explanation,missing_evidence,final_return_expr
candidate_aad1adf29ba2,fs/f2fs/node.c,__flush_nat_entry_set,3026,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,60,"[""f2fs.generic.locks""]","[""unlock""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",PTR_ERR(page)
candidate_4d3478bedbd5,fs/f2fs/segment.c,build_curseg,4523,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,"[""f2fs.memory.kmalloc.family.free"", ""f2fs.memory.kv.family.kvfree"", ""f2fs.memory.slab.alloc.free""]","[""kfree"", ""kvfree"", ""kmem_cache_free""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-ENOMEM
candidate_57aa8821c6c5,fs/f2fs/segment.c,build_curseg,4528,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,"[""f2fs.memory.kmalloc.family.free"", ""f2fs.memory.kv.family.kvfree"", ""f2fs.memory.slab.alloc.free""]","[""kfree"", ""kvfree"", ""kmem_cache_free""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-ENOMEM
candidate_7310e1e4abff,fs/f2fs/segment.c,init_victim_secmap,4767,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,"[""f2fs.memory.kv.family.kvfree""]","[""kvfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-ENOMEM
candidate_67c6238e4121,fs/f2fs/compress.c,f2fs_write_multi_pages,1538,error_swallowed,P1,E0_STATIC_RULE_ONLY,50,[],[],false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_60c7468bc067,fs/f2fs/data.c,f2fs_bmap_compress,3848,error_swallowed,P1,E0_STATIC_RULE_ONLY,50,[],[],false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_4a212cb4c532,fs/f2fs/data.c,f2fs_write_begin,3646,error_swallowed,P1,E0_STATIC_RULE_ONLY,50,[],[],false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_2f54892a43bc,fs/f2fs/data.c,f2fs_write_single_data_page,2915,error_swallowed,P1,E0_STATIC_RULE_ONLY,50,[],[],false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_beeb7d19e7d4,fs/f2fs/super.c,f2fs_enable_quota_files,2799,error_swallowed,P1,E0_STATIC_RULE_ONLY,50,[],[],false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_54ae655e8095,fs/f2fs/checkpoint.c,__get_meta_page,82,missing_cleanup,P3,E2_API_PROTOCOL_SUPPORTED,40,"[""f2fs.page.get.put""]","[""f2fs_put_page""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",page
candidate_32fe8deb4c84,fs/f2fs/checkpoint.c,get_checkpoint_version,852,missing_cleanup,P3,E2_API_PROTOCOL_SUPPORTED,40,"[""f2fs.page.get.put""]","[""f2fs_put_page""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",PTR_ERR(*cp_page)
candidate_7e0b0ae39cb5,fs/f2fs/compress.c,f2fs_write_compressed_pages,1263,missing_cleanup,P3,E2_API_PROTOCOL_SUPPORTED,40,"[""f2fs.rwsem.read""]","[""f2fs_up_read""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-EAGAIN
candidate_d0148a3fca6f,fs/f2fs/dir.c,f2fs_readdir,1103,missing_cleanup,P3,E2_API_PROTOCOL_SUPPORTED,40,"[""f2fs.page.get.put""]","[""f2fs_put_page""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",err < 0 ? err : 0
candidate_2d8567318819,fs/f2fs/file.c,__f2fs_ioc_gc_range,2521,missing_cleanup,P3,E2_API_PROTOCOL_SUPPORTED,40,"[""f2fs.rwsem.write""]","[""f2fs_up_write""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_8bd39856a373,fs/f2fs/file.c,__f2fs_ioc_gc_range,2527,missing_cleanup,P3,E2_API_PROTOCOL_SUPPORTED,40,"[""f2fs.rwsem.write""]","[""f2fs_up_write""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_261decbbd5f6,fs/f2fs/file.c,f2fs_expand_inode_data,1728,missing_cleanup,P3,E2_API_PROTOCOL_SUPPORTED,40,"[""f2fs.rwsem.write""]","[""f2fs_up_write""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",err
candidate_e050c082b60e,fs/f2fs/file.c,f2fs_expand_inode_data,1747,missing_cleanup,P3,E2_API_PROTOCOL_SUPPORTED,40,"[""f2fs.rwsem.write""]","[""f2fs_up_write""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",err
candidate_2c4304d52c29,fs/f2fs/file.c,f2fs_expand_inode_data,1759,missing_cleanup,P3,E2_API_PROTOCOL_SUPPORTED,40,"[""f2fs.rwsem.write""]","[""f2fs_up_write""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",err
candidate_03bb73a78e28,fs/f2fs/segment.c,build_free_segmap,4493,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,40,"[""f2fs.memory.kmalloc.family.free"", ""f2fs.memory.kv.family.kvfree"", ""f2fs.memory.slab.alloc.free"", ""f2fs.memory.kv.family.kvfree""]","[""kfree"", ""kvfree"", ""kmem_cache_free"", ""kvfree""]",true,"[{""type"": ""ownership_transferred"", ""resource_kind"": ""memory"", ""resource_expr"": ""free_i"", ""line"": 4484, ""reason"": ""resource assigned into a struct field before the error path"", ""confidence"": ""low"", ""protocol_id"": ""f2fs.memory.kmalloc.family.free""}, {""type"": ""ownership_transferred"", ""resource_kind"": ""memory"", ""resource_expr"": ""free_i"", ""line"": 4484, ""reason"": ""resource assigned into a struct field before the error path"", ""confidence"": ""low"", ""protocol_id"": ""f2fs.memory.kv.family.kvfree""}, {""type"": ""ownership_transferred"", ""resource_kind"": ""memory"", ""resource_expr"": ""free_i"", ""line"": 4484, ""reason"": ""resource assigned into a struct field before the error path"", ""confidence"": ""low"", ""protocol_id"": ""f2fs.memory.slab.alloc.free""}]",false,true,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support with exception hints +10"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-ENOMEM
candidate_04c5918e585a,fs/f2fs/segment.c,build_sit_info,4427,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,40,"[""f2fs.memory.kmalloc.family.free"", ""f2fs.memory.kv.family.kvfree"", ""f2fs.memory.slab.alloc.free"", ""f2fs.memory.kv.family.kvfree""]","[""kfree"", ""kvfree"", ""kmem_cache_free"", ""kvfree""]",true,"[{""type"": ""ownership_transferred"", ""resource_kind"": ""memory"", ""resource_expr"": ""sit_i"", ""line"": 4382, ""reason"": ""resource assigned into a struct field before the error path"", ""confidence"": ""low"", ""protocol_id"": ""f2fs.memory.kmalloc.family.free""}, {""type"": ""ownership_transferred"", ""resource_kind"": ""memory"", ""resource_expr"": ""sit_i"", ""line"": 4382, ""reason"": ""resource assigned into a struct field before the error path"", ""confidence"": ""low"", ""protocol_id"": ""f2fs.memory.kv.family.kvfree""}, {""type"": ""ownership_transferred"", ""resource_kind"": ""memory"", ""resource_expr"": ""sit_i"", ""line"": 4382, ""reason"": ""resource assigned into a struct field before the error path"", ""confidence"": ""low"", ""protocol_id"": ""f2fs.memory.slab.alloc.free""}]",false,true,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support with exception hints +10"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-ENOMEM
