linux_git_commit,linux_git_tag,file,function,path_id,error_line,candidate_type,severity,condition,exit_type,target_label,error_source_expr,held_resources,cleanup_calls,missing_cleanup_candidates,final_return_expr,evidence,reason
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_attr_list.c,xfs_attr_shortform_list,xfs_attr_shortform_list#005,120,missing_cleanup,P2,unlikely( ((char *)sfe < (char *)sf) || ((char *)sfe >= ((char *)sf + dp->i_af.if_bytes))),return,,unknown,"[{""var"": ""sbp"", ""acquire_func"": ""kmem_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kvfree"", ""kfree""], ""acquire_line"": 112, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}, {""var"": ""sbuf"", ""acquire_func"": ""kmem_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kvfree"", ""kfree""], ""acquire_line"": 112, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}]","[""XFS_CORRUPTION_ERROR(\""xfs_attr_shortform_list\"", XFS_ERRLEVEL_LOW, context->dp->i_mount, sfe, sizeof(*sfe))"", ""kmem_free(sbuf)""]","[""kvfree(sbp)"", ""kvfree(sbuf)""]",-EFSCORRUPTED,"{""acquired_resources"": [{""var"": ""sbp"", ""acquire_func"": ""kmem_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kvfree"", ""kfree""], ""acquire_line"": 112, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}, {""var"": ""sbuf"", ""acquire_func"": ""kmem_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kvfree"", ""kfree""], ""acquire_line"": 112, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}], ""missing_releases"": [""kvfree(sbp)"", ""kvfree(sbuf)""], ""cleanup_calls"": [""XFS_CORRUPTION_ERROR(\""xfs_attr_shortform_list\"", XFS_ERRLEVEL_LOW, context->dp->i_mount, sfe, sizeof(*sfe))"", ""kmem_free(sbuf)""], ""final_return_expr"": ""-EFSCORRUPTED""}",error path exits while resource acquired before error path has no matching release in cleanup.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_attr_list.c,xfs_attr_shortform_list,xfs_attr_shortform_list#006,164,missing_cleanup,P2,i == nsbuf,goto,out,0,"[{""var"": ""sbp"", ""acquire_func"": ""kmem_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kvfree"", ""kfree""], ""acquire_line"": 112, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}, {""var"": ""sbuf"", ""acquire_func"": ""kmem_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kvfree"", ""kfree""], ""acquire_line"": 112, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}]","[""kmem_free(sbuf)""]","[""kvfree(sbp)"", ""kvfree(sbuf)""]",error,"{""acquired_resources"": [{""var"": ""sbp"", ""acquire_func"": ""kmem_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kvfree"", ""kfree""], ""acquire_line"": 112, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}, {""var"": ""sbuf"", ""acquire_func"": ""kmem_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kvfree"", ""kfree""], ""acquire_line"": 112, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}], ""missing_releases"": [""kvfree(sbp)"", ""kvfree(sbuf)""], ""cleanup_calls"": [""kmem_free(sbuf)""], ""final_return_expr"": ""error""}",error path exits while resource acquired before error path has no matching release in cleanup.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_attr_list.c,xfs_attr_shortform_list,xfs_attr_shortform_list#007,175,missing_cleanup,P2,"XFS_IS_CORRUPT(context->dp->i_mount, !xfs_attr_namecheck(sbp->name, sbp->namelen))",goto,out,unknown,"[{""var"": ""sbp"", ""acquire_func"": ""kmem_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kvfree"", ""kfree""], ""acquire_line"": 112, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}, {""var"": ""sbuf"", ""acquire_func"": ""kmem_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kvfree"", ""kfree""], ""acquire_line"": 112, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}]","[""kmem_free(sbuf)""]","[""kvfree(sbp)"", ""kvfree(sbuf)""]",error,"{""acquired_resources"": [{""var"": ""sbp"", ""acquire_func"": ""kmem_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kvfree"", ""kfree""], ""acquire_line"": 112, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}, {""var"": ""sbuf"", ""acquire_func"": ""kmem_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kvfree"", ""kfree""], ""acquire_line"": 112, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}], ""missing_releases"": [""kvfree(sbp)"", ""kvfree(sbuf)""], ""cleanup_calls"": [""kmem_free(sbuf)""], ""final_return_expr"": ""error""}",error path exits while resource acquired before error path has no matching release in cleanup.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_buf.c,xfs_buf_alloc_kmem,xfs_buf_alloc_kmem#002,339,missing_cleanup,P2,((unsigned long)(bp->b_addr + size - 1) & PAGE_MASK) != ((unsigned long)bp->b_addr & PAGE_MASK),return,,unknown,"[{""var"": ""bp->b_addr"", ""acquire_func"": ""kmem_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kvfree"", ""kfree""], ""acquire_line"": 335, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}]","[""kmem_free(bp->b_addr)""]","[""kvfree(bp->b_addr)""]",-ENOMEM,"{""acquired_resources"": [{""var"": ""bp->b_addr"", ""acquire_func"": ""kmem_alloc"", ""resource_type"": ""memory"", ""release_functions"": [""kvfree"", ""kfree""], ""acquire_line"": 335, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}], ""missing_releases"": [""kvfree(bp->b_addr)""], ""cleanup_calls"": [""kmem_free(bp->b_addr)""], ""final_return_expr"": ""-ENOMEM""}",error path exits while resource acquired before error path has no matching release in cleanup.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_dquot.c,xfs_qm_dqget,xfs_qm_dqget#004,875,error_swallowed,P1,error,goto,restart,"xfs_qm_dqget_cache_insert(mp, qi, tree, id, dqp)",[],"[""xfs_qm_dqdestroy(dqp)"", ""XFS_STATS_INC(mp, xs_qm_dquot_dups)"", ""xfs_qm_dqget_cache_lookup(mp, qi, tree, id)""]",[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""xfs_qm_dqdestroy(dqp)"", ""XFS_STATS_INC(mp, xs_qm_dquot_dups)"", ""xfs_qm_dqget_cache_lookup(mp, qi, tree, id)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_dquot.c,xfs_qm_dqget_inode,xfs_qm_dqget_inode#003,975,missing_cleanup,P3,error,return,,"xfs_qm_dqread(mp, id, type, can_alloc, &dqp)","[{""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 974, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}]",[],"[""xfs_iunlock(ip)""]",error,"{""acquired_resources"": [{""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 974, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}], ""missing_releases"": [""xfs_iunlock(ip)""], ""cleanup_calls"": [], ""final_return_expr"": ""error""}",error path exits while resource acquired before error path has no matching release in cleanup.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_dquot.c,xfs_qm_dqget_inode,xfs_qm_dqget_inode#004,982,missing_cleanup,P3,"xfs_this_quota_on(mp, type)",return,,unknown,"[{""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 974, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}]","[""xfs_qm_dqdestroy(dqp)""]","[""xfs_iunlock(ip)""]",-ESRCH,"{""acquired_resources"": [{""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 974, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}], ""missing_releases"": [""xfs_iunlock(ip)""], ""cleanup_calls"": [""xfs_qm_dqdestroy(dqp)""], ""final_return_expr"": ""-ESRCH""}",error path exits while resource acquired before error path has no matching release in cleanup.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_dquot.c,xfs_qm_dqget_inode,xfs_qm_dqget_inode#006,999,missing_cleanup,P3,error,goto,restart,"xfs_qm_dqget_cache_insert(mp, qi, tree, id, dqp)","[{""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 974, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}, {""var"": ""dqp"", ""acquire_func"": ""xfs_dqlock"", ""resource_type"": ""xfs_dquot_lock"", ""release_functions"": [""xfs_dqunlock""], ""acquire_line"": 989, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}]","[""xfs_qm_dqdestroy(dqp)"", ""XFS_STATS_INC(mp, xs_qm_dquot_dups)"", ""xfs_qm_dqget_cache_lookup(mp, qi, tree, id)""]","[""xfs_iunlock(ip)"", ""xfs_dqunlock(dqp)""]",0,"{""acquired_resources"": [{""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 974, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}, {""var"": ""dqp"", ""acquire_func"": ""xfs_dqlock"", ""resource_type"": ""xfs_dquot_lock"", ""release_functions"": [""xfs_dqunlock""], ""acquire_line"": 989, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}], ""missing_releases"": [""xfs_iunlock(ip)"", ""xfs_dqunlock(dqp)""], ""cleanup_calls"": [""xfs_qm_dqdestroy(dqp)"", ""XFS_STATS_INC(mp, xs_qm_dquot_dups)"", ""xfs_qm_dqget_cache_lookup(mp, qi, tree, id)""], ""final_return_expr"": ""0""}",error path exits while resource acquired before error path has no matching release in cleanup.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_dquot.c,xfs_qm_dqget_inode,xfs_qm_dqget_inode#006,999,error_swallowed,P1,error,goto,restart,"xfs_qm_dqget_cache_insert(mp, qi, tree, id, dqp)","[{""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 974, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}, {""var"": ""dqp"", ""acquire_func"": ""xfs_dqlock"", ""resource_type"": ""xfs_dquot_lock"", ""release_functions"": [""xfs_dqunlock""], ""acquire_line"": 989, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}]","[""xfs_qm_dqdestroy(dqp)"", ""XFS_STATS_INC(mp, xs_qm_dquot_dups)"", ""xfs_qm_dqget_cache_lookup(mp, qi, tree, id)""]","[""xfs_iunlock(ip)"", ""xfs_dqunlock(dqp)""]",0,"{""acquired_resources"": [{""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 974, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}, {""var"": ""dqp"", ""acquire_func"": ""xfs_dqlock"", ""resource_type"": ""xfs_dquot_lock"", ""release_functions"": [""xfs_dqunlock""], ""acquire_line"": 989, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}], ""missing_releases"": [""xfs_iunlock(ip)"", ""xfs_dqunlock(dqp)""], ""cleanup_calls"": [""xfs_qm_dqdestroy(dqp)"", ""XFS_STATS_INC(mp, xs_qm_dquot_dups)"", ""xfs_qm_dqget_cache_lookup(mp, qi, tree, id)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
e8f897f4afef0031fe618a8e94127a0934896aba,v6.8,fs/xfs/xfs_file.c,xfs_file_write_checks,xfs_file_write_checks#008,479,missing_cleanup,P3,error,return,,"xfs_zero_range(ip, isize, iocb->ki_pos - isize, NULL)","[{""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 461, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}]",[],"[""xfs_iunlock(ip)""]",error,"{""acquired_resources"": [{""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 461, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_suggestion_template"": """"}], ""missing_releases"": [""xfs_iunlock(ip)""], ""cleanup_calls"": [], ""final_return_expr"": ""error""}",error path exits while resource acquired before error path has no matching release in cleanup.
