candidate_id,file,function,error_line,candidate_type,severity,evidence_level,evidence_score,matched_protocol_ids,required_actions,has_exception_hints,exception_hints,released_by_wrapper_possible,ownership_transfer_possible,manual_verdict,manual_confidence,manual_review_source,manual_confirmed_exception,manual_exception_type,manual_score_adjustment,manual_reason,manual_next_action,manual_validation_hint,score_explanation,missing_evidence,final_return_expr
candidate_ae1c685887fb,fs/xfs/xfs_icache.c,__releases,553,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.generic.spin.variants""]","[""spin_unlock""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",error
candidate_08eb4a85d3e3,fs/xfs/xfs_log.c,__acquires,311,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.generic.spin.variants""]","[""spin_unlock""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-EIO
candidate_a2b9cb7c45d2,fs/xfs/xfs_log.c,xlog_force_lsn,3305,missing_cleanup,P1,E2_API_PROTOCOL_SUPPORTED,80,"[""lock.generic.spin.variants""]","[""spin_unlock""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P1 severity +20"", ""journal or lock protocol violation without exception hints +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-EAGAIN
candidate_8233b32eae57,fs/xfs/xfs_filestream.c,xfs_filestream_create_association,323,error_swallowed,P1,E2_API_PROTOCOL_SUPPORTED,63,"[""memory.kv.vmalloc.family.kvfree"", ""memory.kmalloc.kzalloc.kcalloc.kmem_alloc.kfree""]","[""kvfree"", ""kfree""]",true,"[{""type"": ""ownership_transferred"", ""resource_kind"": ""memory"", ""resource_expr"": ""item"", ""line"": 316, ""reason"": ""resource appears in a call before the error path"", ""confidence"": ""low"", ""call"": ""kmem_alloc(sizeof(*item), KM_MAYFAIL)"", ""protocol_id"": ""memory.kv.vmalloc.family.kvfree""}, {""type"": ""ownership_transferred"", ""resource_kind"": ""memory"", ""resource_expr"": ""item"", ""line"": 322, ""reason"": ""resource passed to function that may retain ownership"", ""confidence"": ""low"", ""call"": ""xfs_mru_cache_insert(mp->m_filestream, pino, &item->mru)"", ""protocol_id"": ""memory.kv.vmalloc.family.kvfree""}, {""type"": ""ownership_transferred"", ""resource_kind"": ""memory"", ""resource_expr"": ""item"", ""line"": 316, ""reason"": ""resource appears in a call before the error path"", ""confidence"": ""low"", ""call"": ""kmem_alloc(sizeof(*item), KM_MAYFAIL)"", ""protocol_id"": ""memory.kmalloc.kzalloc.kcalloc.kmem_alloc.kfree""}, {""type"": ""ownership_transferred"", ""resource_kind"": ""memory"", ""resource_expr"": ""item"", ""line"": 322, ""reason"": ""resource passed to function that may retain ownership"", ""confidence"": ""low"", ""call"": ""xfs_mru_cache_insert(mp->m_filestream, pino, &item->mru)"", ""protocol_id"": ""memory.kmalloc.kzalloc.kcalloc.kmem_alloc.kfree""}]",false,true,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support with exception hints +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20"", ""buffer_head or memory protocol violation with exception hints +3""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_89a3a7096ee6,fs/xfs/xfs_attr_list.c,xfs_attr_shortform_list,120,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,"[""memory.kv.vmalloc.family.kvfree"", ""memory.kmalloc.kzalloc.kcalloc.kmem_alloc.kfree"", ""memory.kv.vmalloc.family.kvfree"", ""memory.kmalloc.kzalloc.kcalloc.kmem_alloc.kfree""]","[""kvfree"", ""kfree"", ""kvfree"", ""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-EFSCORRUPTED
candidate_d6bff0f2f6bd,fs/xfs/xfs_buf.c,xfs_buf_alloc_kmem,339,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,"[""memory.kv.vmalloc.family.kvfree"", ""memory.kmalloc.kzalloc.kcalloc.kmem_alloc.kfree""]","[""kvfree"", ""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-ENOMEM
candidate_37fad9bd5dec,fs/xfs/xfs_dquot.c,xfs_qm_dqget_inode,999,error_swallowed,P1,E2_API_PROTOCOL_SUPPORTED,60,"[""xfs.inode.ilock.iunlock"", ""xfs.dquot.lock.unlock""]","[""xfs_iunlock"", ""xfs_dqunlock""]",true,"[{""type"": ""ownership_transferred"", ""resource_kind"": ""xfs_inode_lock"", ""resource_expr"": ""ip"", ""line"": 974, ""reason"": ""resource appears in a call before the error path"", ""confidence"": ""low"", ""call"": ""xfs_ilock(ip, XFS_ILOCK_EXCL)"", ""protocol_id"": ""xfs.inode.ilock.iunlock""}, {""type"": ""ownership_transferred"", ""resource_kind"": ""xfs_inode_lock"", ""resource_expr"": ""ip"", ""line"": 985, ""reason"": ""resource appears in a call before the error path"", ""confidence"": ""low"", ""call"": ""xfs_inode_dquot(ip, type)"", ""protocol_id"": ""xfs.inode.ilock.iunlock""}, {""type"": ""ownership_transferred"", ""resource_kind"": ""xfs_dquot_lock"", ""resource_expr"": ""dqp"", ""line"": 987, ""reason"": ""resource appears in a call before the error path"", ""confidence"": ""low"", ""call"": ""xfs_qm_dqdestroy(dqp)"", ""protocol_id"": ""xfs.dquot.lock.unlock""}, {""type"": ""ownership_transferred"", ""resource_kind"": ""xfs_dquot_lock"", ""resource_expr"": ""dqp"", ""line"": 989, ""reason"": ""resource appears in a call before the error path"", ""confidence"": ""low"", ""call"": ""xfs_dqlock(dqp)"", ""protocol_id"": ""xfs.dquot.lock.unlock""}, {""type"": ""ownership_transferred"", ""resource_kind"": ""xfs_dquot_lock"", ""resource_expr"": ""dqp"", ""line"": 994, ""reason"": ""resource appears in a call before the error path"", ""confidence"": ""low"", ""call"": ""xfs_qm_dqdestroy(dqp)"", ""protocol_id"": ""xfs.dquot.lock.unlock""}, {""type"": ""ownership_transferred"", ""resource_kind"": ""xfs_dquot_lock"", ""resource_expr"": ""dqp"", ""line"": 998, ""reason"": ""resource passed to function that may retain ownership"", ""confidence"": ""low"", ""call"": ""xfs_qm_dqget_cache_insert(mp, qi, tree, id, dqp)"", ""protocol_id"": ""xfs.dquot.lock.unlock""}]",false,true,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support with exception hints +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_fa320abdea0a,fs/xfs/xfs_dquot.c,xfs_qm_dqget,875,error_swallowed,P1,E0_STATIC_RULE_ONLY,50,[],[],false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_f2d185f47796,fs/xfs/xfs_log_recover.c,xlog_find_head,516,error_swallowed,P1,E0_STATIC_RULE_ONLY,50,[],[],false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
candidate_bc00964d28fe,fs/xfs/xfs_notify_failure.c,xfs_dax_failure_fn,97,error_swallowed,P1,E0_STATIC_RULE_ONLY,50,[],[],false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""P1 severity +20"", ""error_swallowed final return 0 +20""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",0
